contract_id,tender_id,bid_id,vendor_id,award_amount,change_order_count,change_order_value_ratio,reported_completion_pct,actual_completion_pct,delivery_confirmed,inspection_mismatch_flag,is_phantom_gt,fraud_tag
C-00083,T-00083,B-000340,V-0192,7245566.63,0,0.0,99,51,True,False,False,misrepresented_status
C-00084,T-00084,B-000345,V-0392,2482960.41,0,0.0,91,91,True,False,False,none
C-00085,T-00085,B-000347,V-0452,3249569.06,0,0.0,91,48,True,False,False,misrepresented_status
C-00086,T-00086,B-000349,V-0422,20022482.27,1,0.03,98,98,True,False,False,none
C-00087,T-00087,B-000353,V-0312,1194065.99,0,0.0,94,41,True,False,False,misrepresented_status
C-00088,T-00088,B-000359,V-0452,4572424.63,0,0.0,89,48,True,False,False,misrepresented_status
C-00089,T-00089,B-000360,V-0457,3757435.32,1,0.03,95,95,True,False,False,none
C-00090,T-00090,B-000364,V-0256,2207260.83,0,0.0,100,100,True,False,False,none
C-00091,T-00091,B-000365,V-0443,8836574.84,0,0.0,97,20,True,False,False,misrepresented_status
C-00092,T-00092,B-000371,V-0204,7858245.31,0,0.0,95,95,True,False,False,none
C-00093,T-00093,B-000373,V-0086,9476743.72,0,0.0,99,99,True,False,False,none
C-00094,T-00094,B-000374,V-0168,8590799.72,0,0.0,86,26,True,False,False,misrepresented_status
C-00095,T-00095,B-000380,V-0132,8540054.8,0,0.0,100,100,True,False,False,none
C-00096,T-00096,B-000382,V-0150,689100.93,1,0.03,92,92,True,False,False,none
C-00097,T-00097,B-000388,V-0316,4262742.49,0,0.0,91,32,True,False,False,misrepresented_status
C-00098,T-00098,B-000394,V-0398,1229127.4,0,0.0,97,23,True,False,False,misrepresented_status
C-00099,T-00099,B-000395,V-0459,1259935.19,0,0.0,100,100,True,True,False,product_substitution
C-00100,T-00100,B-000401,V-0353,1540292.98,2,0.06,94,94,True,False,False,none
C-00101,T-00101,B-000404,V-0463,39424488.6,0,0.0,100,100,True,True,False,product_substitution
C-00102,T-00102,B-000406,V-0244,2570505.97,0,0.0,91,91,True,False,False,none
C-00103,T-00103,B-000416,V-0412,1722341.76,0,0.0,100,100,True,True,False,product_substitution
C-00104,T-00104,B-000419,V-0140,1984391.86,1,0.03,99,99,True,False,False,none
C-00105,T-00105,B-000424,V-0093,1758532.56,0,0.0,99,99,True,False,False,none
C-00106,T-00106,B-000434,V-0242,2179169.43,0,0.0,93,93,True,False,False,none
C-00107,T-00107,B-000436,V-0481,2086268.98,0,0.0,100,100,True,True,False,product_substitution
C-00108,T-00108,B-000439,V-0099,5063195.25,0,0.0,97,97,True,False,False,bid_rigging
C-00109,T-00109,B-000441,V-0166,4849572.2,0,0.0,100,100,True,True,False,product_substitution
C-00110,T-00110,B-000445,V-0028,19878248.95,0,0.0,91,91,True,False,False,none
C-00111,T-00111,B-000453,V-0279,1357915.27,1,0.03,99,99,True,False,False,none
C-00112,T-00112,B-000455,V-0497,2380527.0,0,0.0,100,100,True,False,False,none
C-00113,T-00113,B-000461,V-0030,7053388.16,0,0.0,100,100,True,True,False,product_substitution
C-00114,T-00114,B-000462,V-0399,24598637.53,0,0.0,99,99,True,False,False,none
C-00115,T-00115,B-000468,V-0455,3464114.98,0,0.0,100,100,True,True,False,product_substitution
C-00116,T-00116,B-000474,V-0450,1363456.51,0,0.0,100,100,True,True,False,product_substitution
C-00117,T-00117,B-000478,V-0161,1035669.9,0,0.0,95,95,True,False,False,none
C-00118,T-00118,B-000482,V-0227,7756681.68,0,0.0,90,90,True,False,False,none
C-00119,T-00119,B-000488,V-0250,8156950.03,0,0.0,93,93,True,False,False,none
C-00120,T-00120,B-000489,V-0260,7845990.43,0,0.0,100,100,True,True,False,product_substitution
C-00121,T-00121,B-000494,V-0329,8007305.76,0,0.0,98,98,True,False,False,none
C-00122,T-00122,B-000495,V-0072,3319021.26,0,0.0,100,100,True,False,False,none
C-00123,T-00123,B-000497,V-0031,8989243.03,0,0.0,100,100,True,True,False,product_substitution
C-00124,T-00124,B-000499,V-0479,787559.55,1,0.03,98,98,True,False,False,none
C-00125,T-00125,B-000502,V-0318,16944365.74,0,0.0,100,100,True,True,False,product_substitution
C-00126,T-00126,B-000506,V-0007,1104153.72,0,0.0,98,98,True,False,False,none
C-00127,T-00127,B-000512,V-0068,4066041.03,0,0.0,98,98,True,False,False,none
C-00128,T-00128,B-000513,V-0064,772675.16,0,0.0,100,100,True,True,False,product_substitution
C-00129,T-00129,B-000518,V-0337,1817432.61,0,0.0,98,98,True,False,False,none
C-00130,T-00130,B-000521,V-0463,15647517.0,1,0.03,94,94,True,False,False,none
C-00131,T-00131,B-000523,V-0058,3537108.12,0,0.0,99,99,True,False,False,bid_rigging
C-00132,T-00132,B-000528,V-0095,34791487.03,0,0.0,100,100,True,True,False,product_substitution
C-00133,T-00133,B-000534,V-0157,652942.11,1,0.03,90,90,True,False,False,none
C-00134,T-00134,B-000537,V-0181,615687.93,0,0.0,99,99,True,False,False,none
C-00135,T-00135,B-000543,V-0084,652898.56,0,0.0,100,100,True,True,False,product_substitution
C-00136,T-00136,B-000544,V-0164,604667.92,0,0.0,100,100,True,True,False,product_substitution
C-00137,T-00137,B-000551,V-0081,593169.96,0,0.0,100,100,True,True,False,product_substitution
C-00138,T-00138,B-000552,V-0371,618469.57,0,0.0,99,99,True,False,False,none
C-00139,T-00139,B-000554,V-0266,545465.84,2,0.06,99,99,True,False,False,none
C-00140,T-00140,B-000557,V-0380,636893.0,0,0.0,100,100,True,False,False,none
C-00141,T-00141,B-000560,V-0264,2632530.78,0,0.0,94,94,True,False,False,bid_rigging
C-00142,T-00142,B-000561,V-0488,362872.02,2,0.06,100,100,True,False,False,shell_company
C-00143,T-00143,B-000565,V-0222,147707.88,1,0.03,100,100,True,False,False,none
C-00144,T-00144,B-000567,V-0490,2992168.15,0,0.0,94,94,True,False,False,shell_company
C-00145,T-00145,B-000571,V-0110,3025724.2,0,0.0,100,100,True,True,False,product_substitution
C-00146,T-00146,B-000575,V-0129,17832772.31,1,0.03,90,90,True,False,False,none
C-00147,T-00147,B-000581,V-0432,10400700.79,0,0.0,100,100,True,True,False,product_substitution
C-00148,T-00148,B-000584,V-0095,829814.13,1,0.03,92,92,True,False,False,none
C-00149,T-00149,B-000592,V-0046,2520360.2,0,0.0,92,92,True,False,False,none
C-00150,T-00150,B-000595,V-0140,769649.01,0,0.0,100,100,True,True,False,product_substitution
C-00151,T-00151,B-000599,V-0439,2590623.3,2,0.06,95,95,True,False,False,none
C-00152,T-00152,B-000602,V-0361,2430166.98,0,0.0,100,100,True,True,False,product_substitution
C-00153,T-00153,B-000605,V-0413,2332061.77,0,0.0,100,100,True,True,False,product_substitution
C-00154,T-00154,B-000607,V-0316,5533034.12,0,0.0,95,95,True,False,False,none
C-00155,T-00155,B-000613,V-0306,752174.22,0,0.0,91,91,True,False,False,none
C-00156,T-00156,B-000618,V-0119,3187116.96,0,0.0,90,90,True,False,False,none
C-00157,T-00157,B-000625,V-0015,1758192.55,2,0.06,94,94,True,False,False,none
C-00158,T-00158,B-000627,V-0094,106235194.96,0,0.0,100,0,False,False,False,grand_deception
C-00159,T-00159,B-000631,V-0000,1262731.68,0,0.0,93,93,True,False,False,none
C-00160,T-00160,B-000634,V-0255,5152965.05,0,0.0,98,98,True,False,False,none
C-00161,T-00161,B-000644,V-0254,5326233.13,1,0.03,100,100,True,False,False,none
C-00162,T-00162,B-000646,V-0076,287861.89,0,0.0,99,99,True,False,False,bid_rigging
C-00163,T-00163,B-000652,V-0312,6008485.06,0,0.0,97,97,True,False,False,none
C-00164,T-00164,B-000654,V-0378,3951363.19,0,0.0,99,99,True,False,False,none
C-00165,T-00165,B-000658,V-0466,2420964.51,0,0.0,95,95,True,False,False,none
C-00166,T-00166,B-000660,V-0105,11129100.69,0,0.0,95,95,True,False,False,none
C-00167,T-00167,B-000667,V-0126,1960360.52,2,0.06,93,93,True,False,False,none
C-00168,T-00168,B-000671,V-0212,12738503.76,0,0.0,97,97,True,False,False,none
C-00169,T-00169,B-000672,V-0326,2062205.29,0,0.0,100,100,True,False,False,none
C-00170,T-00170,B-000676,V-0146,16746888.74,0,0.0,98,98,True,False,False,none
C-00171,T-00171,B-000679,V-0094,6672773.61,0,0.0,100,0,False,False,False,grand_deception
C-00172,T-00172,B-000685,V-0089,735049.53,0,0.0,93,93,True,False,False,ai_generated_doc
C-00173,T-00173,B-000690,V-0285,802076.29,1,0.03,100,100,True,False,False,none
C-00174,T-00174,B-000694,V-0393,6725814.3,0,0.0,100,0,False,False,False,grand_deception
C-00175,T-00175,B-000700,V-0325,919759.25,0,0.0,90,90,True,False,False,none
C-00176,T-00176,B-000706,V-0021,4870929.31,2,0.06,100,100,True,False,False,none
C-00177,T-00177,B-000709,V-0370,1295050.61,0,0.0,100,100,True,False,False,none
C-00178,T-00178,B-000714,V-0333,1025320.62,0,0.0,97,97,True,False,False,none
C-00179,T-00179,B-000717,V-0479,2694562.83,0,0.0,91,91,True,False,False,none
C-00180,T-00180,B-000719,V-0079,1388235.97,0,0.0,100,100,True,False,False,none
C-00181,T-00181,B-000724,V-0169,4013279.72,0,0.0,93,93,True,False,False,none
C-00182,T-00182,B-000729,V-0228,5004419.73,1,0.03,90,90,True,False,False,price_inflation
C-00183,T-00183,B-000730,V-0465,311047.02,0,0.0,90,90,True,False,False,none
C-00184,T-00184,B-000736,V-0457,1591199.04,0,0.0,98,98,True,False,False,none
C-00185,T-00185,B-000740,V-0308,3122883.82,0,0.0,100,0,False,False,False,grand_deception
C-00186,T-00186,B-000743,V-0462,1201203.1,0,0.0,93,93,True,False,False,none
C-00187,T-00187,B-000747,V-0154,12802079.31,1,0.03,98,98,True,False,False,none
C-00188,T-00188,B-000752,V-0437,1024956.53,0,0.0,90,90,True,False,False,none
C-00189,T-00189,B-000753,V-0441,620092.4,0,0.0,93,93,True,False,False,none
C-00190,T-00190,B-000758,V-0465,809711.04,1,0.03,99,99,True,False,False,none
C-00191,T-00191,B-000761,V-0095,2355517.8,1,0.03,92,92,True,False,False,none
C-00192,T-00192,B-000764,V-0271,13916924.32,0,0.0,95,95,True,False,False,price_inflation
C-00193,T-00193,B-000767,V-0434,2980893.01,0,0.0,90,90,True,False,False,price_inflation
C-00194,T-00194,B-000770,V-0144,2338075.07,2,0.06,93,93,True,False,False,none
C-00195,T-00195,B-000776,V-0469,18478583.97,0,0.0,92,92,True,False,False,none
C-00196,T-00196,B-000779,V-0381,628924.55,0,0.0,100,100,True,False,False,none
C-00197,T-00197,B-000784,V-0012,1263867.94,0,0.0,95,95,True,False,False,none
C-00198,T-00198,B-000787,V-0254,26405526.37,0,0.0,97,97,True,False,False,none
C-00199,T-00199,B-000789,V-0485,627290.56,2,0.06,100,100,True,False,False,none
C-00200,T-00200,B-000794,V-0350,1305271.83,0,0.0,91,91,True,False,False,none
C-00201,T-00201,B-000800,V-0167,5265645.28,2,0.06,97,97,True,False,False,none
C-00202,T-00202,B-000802,V-0323,813632.92,0,0.0,99,99,True,False,False,none
C-00203,T-00203,B-000806,V-0251,590760.96,0,0.0,93,93,True,False,False,none
C-00204,T-00204,B-000807,V-0186,1279659.24,0,0.0,92,92,True,False,False,none
C-00205,T-00205,B-000811,V-0160,3211683.79,0,0.0,97,97,True,False,False,none
C-00206,T-00206,B-000814,V-0152,1749450.66,0,0.0,94,94,True,False,False,none
C-00207,T-00207,B-000819,V-0228,788774.77,0,0.0,99,99,True,False,False,price_inflation
C-00208,T-00208,B-000822,V-0321,1619862.18,0,0.0,90,90,True,False,False,none
C-00209,T-00209,B-000828,V-0386,1070018.32,0,0.0,95,95,True,False,False,none
C-00210,T-00210,B-000830,V-0280,1311116.41,0,0.0,95,95,True,False,False,none
C-00211,T-00211,B-000833,V-0431,19854521.4,2,0.06,90,90,True,False,False,bid_suppression
C-00212,T-00212,B-000834,V-0036,4029360.1,0,0.0,92,92,True,False,False,bid_rigging
C-00213,T-00213,B-000839,V-0297,5870603.67,1,0.03,96,96,True,False,False,none
C-00214,T-00214,B-000842,V-0311,528232.56,0,0.0,94,94,True,False,False,ai_generated_doc
C-00215,T-00215,B-000844,V-0279,434051.3,0,0.0,96,96,True,False,False,shell_company
C-00216,T-00216,B-000847,V-0237,1039157.88,0,0.0,94,94,True,False,False,none
C-00217,T-00217,B-000852,V-0245,23997344.16,0,0.0,95,95,True,False,False,none
C-00218,T-00218,B-000853,V-0484,2656084.72,1,0.03,97,97,True,False,False,none
C-00219,T-00219,B-000856,V-0216,13898948.93,0,0.0,91,91,True,False,False,none
C-00220,T-00220,B-000860,V-0325,201656.31,1,0.03,91,91,True,False,False,none
C-00221,T-00221,B-000861,V-0139,2543891.6,0,0.0,93,93,True,False,False,none
C-00222,T-00222,B-000868,V-0343,1102807.59,0,0.0,99,99,True,False,False,none
C-00223,T-00223,B-000874,V-0188,1352870.15,0,0.0,100,100,True,False,False,none
C-00224,T-00224,B-000876,V-0177,12910968.71,0,0.0,100,100,True,False,False,none
C-00225,T-00225,B-000879,V-0385,10108306.08,0,0.0,90,90,True,False,False,none
C-00226,T-00226,B-000884,V-0256,2962264.21,0,0.0,95,95,True,False,False,none
C-00227,T-00227,B-000887,V-0363,2780097.63,1,0.03,96,96,True,False,False,none
C-00228,T-00228,B-000889,V-0383,325706.93,0,0.0,92,92,True,False,False,none
C-00229,T-00229,B-000893,V-0277,8589811.06,0,0.0,92,92,True,False,False,none
C-00230,T-00230,B-000897,V-0483,790049.08,0,0.0,98,98,True,False,False,none
C-00231,T-00231,B-000901,V-0470,7603279.19,0,0.0,100,100,True,False,False,none
C-00232,T-00232,B-000904,V-0216,1148862.43,1,0.03,90,90,True,False,False,none
C-00233,T-00233,B-000911,V-0360,5134506.09,0,0.0,94,94,True,False,False,none
C-00234,T-00234,B-000912,V-0198,7005100.47,1,0.03,98,98,True,False,False,none
C-00235,T-00235,B-000919,V-0381,12994437.94,0,0.0,93,93,True,False,False,none
C-00236,T-00236,B-000926,V-0187,262109.51,2,0.06,94,94,True,False,False,none
C-00237,T-00237,B-000929,V-0464,13874504.76,0,0.0,95,95,True,False,False,none
C-00238,T-00238,B-000933,V-0034,837090.57,0,0.0,95,95,True,False,False,none
C-00239,T-00239,B-000937,V-0268,1160639.24,1,0.03,90,90,True,False,False,none
C-00240,T-00240,B-000939,V-0339,2783210.99,0,0.0,96,96,True,False,False,none
C-00241,T-00241,B-000941,V-0275,1032954.51,1,0.03,95,95,True,False,False,conflict_of_interest
C-00242,T-00242,B-000946,V-0134,1553717.86,1,0.03,97,97,True,False,False,none
C-00243,T-00243,B-000947,V-0275,2050369.49,0,0.0,98,98,True,False,False,conflict_of_interest
C-00244,T-00244,B-000951,V-0142,15048986.46,0,0.0,100,100,True,False,False,none
C-00245,T-00245,B-000955,V-0261,24036324.44,1,0.03,93,93,True,False,False,none
C-00246,T-00246,B-000958,V-0128,2749753.1,0,0.0,92,92,True,False,False,none
C-00247,T-00247,B-000964,V-0071,5928534.49,1,0.03,93,93,True,False,False,none
C-00248,T-00248,B-000970,V-0247,26943403.98,1,0.03,99,99,True,False,False,none
C-00249,T-00249,B-000974,V-0232,11343881.43,0,0.0,100,100,True,False,False,none
C-00250,T-00250,B-000976,V-0392,921252.19,1,0.03,90,90,True,False,False,conflict_of_interest
C-00251,T-00251,B-000978,V-0104,5111355.91,0,0.0,92,92,True,False,False,none
C-00252,T-00252,B-000986,V-0412,1654696.48,0,0.0,93,93,True,False,False,ai_generated_doc
C-00253,T-00253,B-000990,V-0449,297673.17,1,0.03,96,96,True,False,False,bid_rigging
C-00254,T-00254,B-000992,V-0226,1135125.4,0,0.0,92,92,True,False,False,none
C-00255,T-00255,B-000996,V-0351,2370200.24,0,0.0,96,96,True,False,False,none
C-00256,T-00256,B-000999,V-0223,1035497.01,0,0.0,99,99,True,False,False,none
C-00257,T-00257,B-001001,V-0080,4506311.82,0,0.0,100,100,True,False,False,none
C-00258,T-00258,B-001007,V-0072,638956.73,0,0.0,90,90,True,False,False,none
C-00259,T-00259,B-001009,V-0280,3166900.13,0,0.0,95,95,True,False,False,none
C-00260,T-00260,B-001016,V-0188,2194603.43,0,0.0,100,100,True,False,False,none
C-00261,T-00261,B-001017,V-0269,8644123.43,0,0.0,91,91,True,False,False,conflict_of_interest
C-00262,T-00262,B-001025,V-0266,759383.47,1,0.03,99,99,True,False,False,none
C-00263,T-00263,B-001028,V-0101,3508741.95,1,0.03,100,100,True,False,False,none
C-00264,T-00264,B-001034,V-0238,4762293.24,0,0.0,97,97,True,False,False,none
C-00265,T-00265,B-001037,V-0150,22561867.68,0,0.0,91,91,True,False,False,none
C-00266,T-00266,B-001042,V-0381,1202400.0,2,0.06,100,100,True,False,False,none
C-00267,T-00267,B-001048,V-0341,1732796.42,0,0.0,90,90,True,False,False,none
C-00268,T-00268,B-001049,V-0046,297779.24,0,0.0,99,99,True,False,False,bid_rigging
C-00269,T-00269,B-001054,V-0084,1100359.43,0,0.0,94,94,True,False,False,none
C-00270,T-00270,B-001060,V-0169,7809898.64,0,0.0,90,90,True,False,False,none
C-00271,T-00271,B-001063,V-0302,4253730.14,0,0.0,99,99,True,False,False,none
C-00272,T-00272,B-001068,V-0246,3637811.32,1,0.03,92,92,True,False,False,none
C-00273,T-00273,B-001070,V-0189,2541952.47,0,0.0,96,96,True,False,False,none
C-00274,T-00274,B-001073,V-0192,3477785.33,0,0.0,91,91,True,False,False,none
C-00275,T-00275,B-001079,V-0046,1045743.78,1,0.03,93,93,True,False,False,bid_rigging
C-00276,T-00276,B-001083,V-0080,2027884.55,0,0.0,100,100,True,False,False,none
C-00277,T-00277,B-001090,V-0205,885397.82,1,0.03,99,99,True,False,False,none
C-00278,T-00278,B-001092,V-0370,4258837.51,0,0.0,91,91,True,False,False,none
C-00279,T-00279,B-001099,V-0242,500756.21,0,0.0,92,92,True,False,False,none
C-00280,T-00280,B-001101,V-0358,3642459.29,0,0.0,96,96,True,False,False,none
C-00281,T-00281,B-001110,V-0247,4657013.82,1,0.03,99,99,True,False,False,none
C-00282,T-00282,B-001114,V-0233,12440763.1,0,0.0,90,90,True,False,False,none
C-00283,T-00283,B-001116,V-0114,14069628.47,0,0.0,93,93,True,False,False,none
C-00284,T-00284,B-001124,V-0444,996203.89,0,0.0,91,91,True,False,False,none
C-00285,T-00285,B-001130,V-0125,3213986.2,0,0.0,96,96,True,False,False,none
C-00286,T-00286,B-001132,V-0354,2507841.21,0,0.0,90,90,True,False,False,none
C-00287,T-00287,B-001138,V-0412,235497.27,0,0.0,92,92,True,False,False,none
C-00288,T-00288,B-001146,V-0317,9349628.4,0,0.0,98,98,True,False,False,none
C-00289,T-00289,B-001150,V-0340,342226.03,1,0.03,97,97,True,False,False,none
C-00290,T-00290,B-001155,V-0250,231171.45,0,0.0,94,94,True,False,False,bid_rigging
C-00291,T-00291,B-001160,V-0157,5939272.51,0,0.0,90,90,True,False,False,none
C-00292,T-00292,B-001164,V-0025,742205.39,1,0.03,99,99,True,False,False,none
C-00293,T-00293,B-001168,V-0336,4442624.85,0,0.0,97,97,True,False,False,none
C-00294,T-00294,B-001173,V-0458,1320638.6,0,0.0,98,98,True,False,False,none
C-00295,T-00295,B-001181,V-0096,18498600.58,1,0.03,92,92,True,False,False,none
C-00296,T-00296,B-001188,V-0097,4006961.07,2,0.06,92,92,True,False,False,none
C-00297,T-00297,B-001189,V-0028,25447130.96,0,0.0,93,93,True,False,False,shell_company
C-00298,T-00298,B-001193,V-0105,3608951.14,0,0.0,100,100,True,False,False,none
C-00299,T-00299,B-001197,V-0234,641926.75,0,0.0,90,90,True,False,False,ai_generated_doc
C-00300,T-00300,B-001199,V-0232,15388254.75,1,0.03,92,92,True,False,False,none
C-00301,T-00301,B-001201,V-0245,1911860.72,0,0.0,99,99,True,False,False,none
