document_id,bid_id,tender_id,vendor_id,author_matches_vendor_flag,creation_after_deadline_flag,modified_after_submission_flag,flesch_reading_ease,ai_generated_text_score,citation_verifiable_ratio,metadata_missing_flag,fraud_tag
D-000028,B-000028,T-00007,V-0253,True,False,False,66.6,0.048,0.93,False,none
D-000029,B-000029,T-00007,V-0009,True,False,False,52.9,0.359,0.87,False,none
D-000030,B-000030,T-00007,V-0441,True,False,False,66.8,0.038,0.99,False,none
D-000031,B-000031,T-00007,V-0195,True,False,False,41.7,0.187,0.85,False,none
D-000032,B-000032,T-00007,V-0227,True,False,False,12.5,0.143,0.98,False,none
D-000033,B-000033,T-00008,V-0371,True,False,False,39.0,0.187,0.89,False,none
D-000034,B-000034,T-00008,V-0424,True,False,False,46.5,0.241,0.88,False,none
D-000035,B-000035,T-00008,V-0318,True,False,False,50.7,0.102,1.0,False,none
D-000036,B-000036,T-00008,V-0222,True,False,False,44.4,0.173,0.91,False,none
D-000037,B-000037,T-00009,V-0239,True,False,False,31.7,0.072,0.94,False,none
D-000038,B-000038,T-00009,V-0381,True,False,False,36.6,0.132,0.96,False,none
D-000039,B-000039,T-00009,V-0473,True,False,False,31.6,0.242,0.91,True,none
D-000040,B-000040,T-00009,V-0121,True,False,False,43.2,0.219,0.92,False,none
D-000041,B-000041,T-00009,V-0067,True,False,False,53.2,0.219,0.9,False,none
D-000042,B-000042,T-00010,V-0006,True,False,False,48.4,0.315,0.97,True,none
D-000043,B-000043,T-00010,V-0063,True,False,False,32.2,0.433,0.86,False,none
D-000044,B-000044,T-00010,V-0157,True,False,False,59.4,0.045,0.86,False,none
D-000045,B-000045,T-00010,V-0291,True,False,False,61.9,0.19,0.93,False,none
D-000046,B-000046,T-00010,V-0338,True,False,False,49.0,0.042,0.89,False,none
D-000047,B-000047,T-00010,V-0164,True,False,False,52.9,0.181,0.86,False,none
D-000048,B-000048,T-00011,V-0225,True,False,False,51.2,0.351,0.92,False,none
D-000049,B-000049,T-00011,V-0092,True,False,False,57.8,0.095,0.85,False,none
D-000050,B-000050,T-00012,V-0446,True,False,False,46.9,0.293,0.93,False,none
D-000051,B-000051,T-00012,V-0316,True,False,False,48.5,0.011,0.87,False,none
D-000052,B-000052,T-00012,V-0335,True,False,False,37.4,0.026,0.95,False,none
D-000053,B-000053,T-00013,V-0367,True,False,False,42.4,0.223,0.94,False,none
D-000054,B-000054,T-00013,V-0116,True,False,False,45.1,0.293,0.95,False,none
D-000055,B-000055,T-00013,V-0031,True,False,False,25.5,0.114,0.94,False,none
D-000056,B-000056,T-00013,V-0487,True,False,False,61.8,0.103,0.93,False,none
D-000057,B-000057,T-00013,V-0365,True,False,False,20.1,0.048,0.91,False,none
D-000058,B-000058,T-00013,V-0132,True,False,False,53.3,0.347,0.93,False,none
D-000059,B-000059,T-00014,V-0036,True,False,False,39.4,0.26,0.92,False,none
D-000060,B-000060,T-00014,V-0328,True,False,False,27.2,0.293,0.89,False,none
D-000061,B-000061,T-00014,V-0218,True,False,False,44.9,0.076,0.96,False,none
D-000062,B-000062,T-00014,V-0448,True,False,False,39.8,0.068,0.88,False,none
D-000063,B-000063,T-00014,V-0144,True,False,False,25.5,0.358,0.88,True,none
D-000064,B-000064,T-00015,V-0466,True,False,False,41.9,0.495,0.93,False,none
D-000065,B-000065,T-00015,V-0302,True,False,False,50.3,0.096,0.97,False,none
D-000066,B-000066,T-00015,V-0013,True,False,False,33.1,0.094,0.96,False,none
D-000067,B-000067,T-00016,V-0016,True,False,False,35.8,0.216,0.91,False,none
D-000068,B-000068,T-00016,V-0336,True,False,False,55.8,0.401,0.9,False,none
D-000069,B-000069,T-00016,V-0371,True,False,False,35.6,0.238,0.88,False,none
D-000070,B-000070,T-00016,V-0076,True,False,False,53.0,0.078,0.89,False,none
D-000071,B-000071,T-00016,V-0195,True,False,False,18.6,0.116,0.94,False,none
D-000072,B-000072,T-00016,V-0390,True,False,False,42.7,0.028,0.93,False,none
D-000073,B-000073,T-00017,V-0428,True,False,False,30.7,0.264,0.88,False,none
D-000074,B-000074,T-00017,V-0294,True,False,False,50.4,0.154,0.85,False,none
D-000075,B-000075,T-00017,V-0150,True,False,False,48.3,0.4,0.87,True,none
D-000076,B-000076,T-00018,V-0185,True,False,False,39.4,0.078,0.93,False,none
D-000077,B-000077,T-00018,V-0040,True,False,False,52.1,0.204,0.98,False,none
D-000078,B-000078,T-00018,V-0180,True,False,False,59.0,0.428,0.92,False,none
D-000079,B-000079,T-00018,V-0286,True,False,False,40.1,0.182,0.91,False,none
D-000080,B-000080,T-00018,V-0258,True,False,False,36.4,0.255,0.96,False,none
D-000081,B-000081,T-00019,V-0310,True,False,False,43.4,0.253,0.86,False,none
D-000082,B-000082,T-00019,V-0133,True,False,False,42.0,0.165,0.96,False,none
D-000083,B-000083,T-00019,V-0407,True,False,False,56.6,0.023,0.86,False,none
D-000084,B-000084,T-00020,V-0460,True,False,False,57.1,0.099,0.91,False,none
D-000085,B-000085,T-00020,V-0092,True,False,False,37.0,0.115,0.93,False,none
D-000086,B-000086,T-00020,V-0448,True,False,False,54.2,0.143,0.98,False,none
D-000087,B-000087,T-00021,V-0426,True,False,False,47.8,0.173,0.99,False,none
D-000088,B-000088,T-00021,V-0220,True,False,False,39.2,0.243,0.86,False,none
D-000089,B-000089,T-00022,V-0065,True,False,False,44.4,0.328,0.98,False,none
D-000090,B-000090,T-00022,V-0205,True,False,False,36.4,0.522,0.87,False,none
D-000091,B-000091,T-00022,V-0356,True,False,False,60.7,0.183,0.94,False,none
D-000092,B-000092,T-00022,V-0285,True,False,False,39.0,0.144,0.95,False,none
D-000093,B-000093,T-00023,V-0379,True,False,False,56.5,0.125,1.0,False,none
D-000094,B-000094,T-00023,V-0427,True,False,False,41.6,0.142,0.99,False,none
D-000095,B-000095,T-00023,V-0223,True,False,False,23.7,0.282,0.94,False,none
D-000096,B-000096,T-00023,V-0148,True,False,False,62.5,0.323,0.97,False,none
D-000097,B-000097,T-00023,V-0387,True,False,False,45.4,0.128,0.93,False,none
D-000098,B-000098,T-00024,V-0143,True,False,False,42.4,0.383,0.97,False,none
D-000099,B-000099,T-00024,V-0483,True,False,False,45.4,0.298,0.87,False,none
D-000100,B-000100,T-00024,V-0395,True,False,False,44.3,0.181,0.95,False,none
D-000101,B-000101,T-00024,V-0049,True,False,False,33.2,0.061,0.98,False,none
D-000102,B-000102,T-00024,V-0118,True,False,False,42.6,0.203,0.97,True,none
D-000103,B-000103,T-00024,V-0152,True,False,False,26.7,0.185,0.95,False,none
D-000104,B-000104,T-00025,V-0050,True,False,False,48.9,0.299,0.85,False,none
D-000105,B-000105,T-00025,V-0177,True,False,False,24.3,0.368,0.94,False,none
D-000106,B-000106,T-00025,V-0145,True,False,False,26.4,0.171,0.96,False,none
D-000107,B-000107,T-00025,V-0084,True,False,False,20.0,0.038,0.95,False,none
D-000108,B-000108,T-00026,V-0358,False,False,False,41.9,0.155,0.94,False,shell_company
D-000109,B-000109,T-00026,V-0387,True,False,False,43.1,0.124,0.89,False,none
D-000110,B-000110,T-00026,V-0086,True,False,False,29.8,0.182,0.92,False,none
D-000111,B-000111,T-00026,V-0014,True,False,False,55.4,0.034,0.92,False,none
D-000112,B-000112,T-00027,V-0227,True,False,False,25.1,0.269,0.97,False,none
D-000113,B-000113,T-00027,V-0455,True,False,False,43.5,0.208,0.92,False,none
D-000114,B-000114,T-00028,V-0495,True,False,False,47.1,0.038,0.91,False,none
D-000115,B-000115,T-00028,V-0181,True,False,False,47.0,0.429,0.92,False,none
D-000116,B-000116,T-00029,V-0344,True,False,False,38.2,0.275,0.9,False,none
D-000117,B-000117,T-00029,V-0397,True,False,False,53.2,0.13,0.99,False,none
D-000118,B-000118,T-00029,V-0037,True,False,False,61.0,0.191,0.99,False,none
D-000119,B-000119,T-00029,V-0361,True,False,False,42.8,0.117,0.99,False,none
D-000120,B-000120,T-00029,V-0352,True,False,False,49.9,0.581,0.93,False,none
D-000121,B-000121,T-00029,V-0161,True,False,False,49.7,0.188,0.91,False,none
D-000122,B-000122,T-00030,V-0344,True,False,False,54.9,0.334,0.92,False,none
D-000123,B-000123,T-00030,V-0100,True,False,False,52.9,0.391,0.91,False,none
D-000124,B-000124,T-00030,V-0135,True,False,False,30.7,0.289,0.98,False,none
D-000125,B-000125,T-00031,V-0001,True,False,False,43.6,0.138,0.94,False,none
D-000126,B-000126,T-00031,V-0222,True,False,False,37.3,0.344,0.97,True,none
D-000127,B-000127,T-00031,V-0034,True,False,False,36.3,0.343,0.93,False,none
D-000128,B-000128,T-00032,V-0120,True,False,False,21.2,0.125,0.98,False,none
D-000129,B-000129,T-00032,V-0326,True,False,False,45.4,0.127,0.91,False,none
D-000130,B-000130,T-00032,V-0178,True,False,False,43.9,0.229,0.96,False,none
D-000131,B-000131,T-00032,V-0247,True,False,False,45.8,0.033,0.95,False,none
D-000132,B-000132,T-00032,V-0271,True,False,False,42.4,0.038,0.93,False,none
D-000133,B-000133,T-00032,V-0336,True,False,False,40.1,0.073,0.91,False,none
D-000134,B-000134,T-00033,V-0126,True,False,False,69.3,0.44,0.87,False,none
D-000135,B-000135,T-00033,V-0339,True,False,False,31.6,0.163,0.99,False,none
D-000136,B-000136,T-00033,V-0217,True,False,False,60.1,0.275,0.89,False,none
D-000137,B-000137,T-00033,V-0059,True,False,False,48.3,0.295,0.89,False,none
D-000138,B-000138,T-00034,V-0259,True,False,False,37.6,0.111,0.91,False,none
D-000139,B-000139,T-00034,V-0110,True,False,False,45.2,0.269,0.96,False,none
D-000140,B-000140,T-00034,V-0455,True,False,False,50.2,0.186,0.92,False,none
D-000141,B-000141,T-00034,V-0435,True,False,False,66.8,0.058,0.93,False,none
D-000142,B-000142,T-00035,V-0173,True,False,False,57.2,0.268,0.9,False,none
D-000143,B-000143,T-00035,V-0325,True,False,False,37.1,0.28,0.86,False,none
D-000144,B-000144,T-00035,V-0419,True,False,False,55.5,0.407,0.96,False,none
D-000145,B-000145,T-00036,V-0312,True,False,False,42.3,0.079,0.96,False,none
D-000146,B-000146,T-00036,V-0168,True,False,False,44.0,0.101,0.95,False,none
D-000147,B-000147,T-00036,V-0066,True,False,False,44.5,0.241,0.92,False,none
D-000148,B-000148,T-00036,V-0309,True,False,False,28.3,0.148,0.9,False,none
D-000149,B-000149,T-00036,V-0276,True,False,False,40.0,0.075,0.97,False,none
D-000150,B-000150,T-00036,V-0010,True,False,False,43.4,0.055,0.86,False,none
D-000151,B-000151,T-00037,V-0466,True,False,False,62.2,0.109,0.9,False,none
D-000152,B-000152,T-00037,V-0191,True,False,False,70.0,0.276,0.93,False,none
D-000153,B-000153,T-00037,V-0169,True,False,False,59.9,0.264,0.98,False,none
D-000154,B-000154,T-00038,V-0021,True,False,False,53.4,0.496,0.93,False,none
D-000155,B-000155,T-00038,V-0080,True,False,False,39.3,0.334,0.86,False,none
D-000156,B-000156,T-00038,V-0144,True,False,False,48.6,0.299,0.96,False,none
D-000157,B-000157,T-00038,V-0154,True,False,False,40.1,0.134,0.9,False,none
D-000158,B-000158,T-00038,V-0012,True,False,False,32.8,0.058,0.97,True,none
D-000159,B-000159,T-00039,V-0309,True,False,False,62.4,0.056,0.91,False,none
D-000160,B-000160,T-00039,V-0470,True,False,False,42.2,0.082,0.95,False,none
D-000161,B-000161,T-00039,V-0077,True,False,False,41.0,0.493,1.0,False,none
D-000162,B-000162,T-00039,V-0048,True,False,False,38.9,0.257,0.98,False,none
D-000163,B-000163,T-00039,V-0376,True,False,False,49.5,0.314,0.88,False,none
D-000164,B-000164,T-00039,V-0301,True,False,False,35.4,0.131,0.93,False,none
D-000165,B-000165,T-00040,V-0287,True,False,False,41.5,0.326,0.97,False,none
D-000166,B-000166,T-00040,V-0142,True,False,False,23.0,0.154,0.86,False,none
D-000167,B-000167,T-00040,V-0247,True,False,False,54.8,0.087,0.9,False,none
D-000168,B-000168,T-00040,V-0145,True,False,False,53.4,0.02,0.99,False,none
D-000169,B-000169,T-00040,V-0464,True,False,False,41.7,0.028,0.85,False,none
D-000170,B-000170,T-00041,V-0055,True,False,False,34.1,0.19,0.95,False,none
D-000171,B-000171,T-00041,V-0329,True,False,False,51.2,0.038,0.93,False,none
D-000172,B-000172,T-00041,V-0159,True,False,False,30.9,0.283,0.96,False,none
D-000173,B-000173,T-00041,V-0170,True,False,False,44.0,0.141,0.93,False,none
D-000174,B-000174,T-00041,V-0073,True,False,False,52.6,0.151,0.99,False,none
D-000175,B-000175,T-00041,V-0414,True,False,False,36.2,0.216,0.88,False,none
D-000176,B-000176,T-00042,V-0427,True,False,False,41.9,0.055,0.96,False,none
D-000177,B-000177,T-00042,V-0077,True,False,False,35.1,0.288,0.86,False,none
D-000178,B-000178,T-00042,V-0018,True,False,False,28.8,0.103,0.87,False,none
D-000179,B-000179,T-00042,V-0164,True,False,False,49.1,0.11,0.9,False,none
D-000180,B-000180,T-00043,V-0471,True,False,False,41.3,0.103,0.99,False,none
D-000181,B-000181,T-00043,V-0053,True,False,False,45.3,0.178,0.88,False,none
D-000182,B-000182,T-00044,V-0011,True,False,False,40.8,0.133,0.94,False,conflict_of_interest
D-000183,B-000183,T-00044,V-0446,True,False,False,45.3,0.022,0.92,False,none
D-000184,B-000184,T-00044,V-0498,True,False,False,39.0,0.097,0.99,False,none
D-000185,B-000185,T-00045,V-0368,True,False,False,46.5,0.241,0.89,False,none
D-000186,B-000186,T-00045,V-0472,True,False,False,46.9,0.061,0.88,False,none
D-000187,B-000187,T-00045,V-0450,True,False,False,39.4,0.426,0.9,False,none
D-000188,B-000188,T-00045,V-0346,True,False,False,52.3,0.201,0.86,False,none
D-000189,B-000189,T-00046,V-0265,True,False,False,35.5,0.337,0.95,False,none
D-000190,B-000190,T-00046,V-0309,True,False,False,30.0,0.251,0.87,False,none
D-000191,B-000191,T-00046,V-0128,True,False,False,19.6,0.255,0.96,False,none
D-000192,B-000192,T-00046,V-0241,True,False,False,61.7,0.342,0.94,False,none
D-000193,B-000193,T-00047,V-0159,True,False,False,33.2,0.131,0.94,False,none
D-000194,B-000194,T-00047,V-0359,True,False,False,44.9,0.375,0.86,False,none
D-000195,B-000195,T-00048,V-0304,True,False,False,42.4,0.069,0.86,False,none
D-000196,B-000196,T-00048,V-0080,True,False,False,36.3,0.101,0.97,False,none
D-000197,B-000197,T-00048,V-0034,True,False,False,30.3,0.074,0.89,False,none
D-000198,B-000198,T-00048,V-0179,True,False,False,44.5,0.016,0.97,False,none
D-000199,B-000199,T-00048,V-0325,True,False,False,27.9,0.278,0.88,False,none
D-000200,B-000200,T-00049,V-0039,True,False,False,55.7,0.281,0.88,False,none
D-000201,B-000201,T-00049,V-0303,True,False,False,47.0,0.105,0.91,False,none
D-000202,B-000202,T-00049,V-0078,True,False,False,56.4,0.039,0.95,False,none
D-000203,B-000203,T-00050,V-0169,True,False,False,38.9,0.265,0.99,False,none
D-000204,B-000204,T-00050,V-0294,True,False,False,44.5,0.132,0.87,False,none
D-000205,B-000205,T-00050,V-0395,True,False,False,0.7,0.469,0.94,False,none
D-000206,B-000206,T-00050,V-0436,True,False,False,37.3,0.117,0.93,False,none
D-000207,B-000207,T-00050,V-0303,True,False,False,36.2,0.279,0.89,False,none
D-000208,B-000208,T-00051,V-0070,True,False,False,53.5,0.048,0.87,False,none
D-000209,B-000209,T-00051,V-0261,True,False,False,40.0,0.541,0.93,False,none
D-000210,B-000210,T-00052,V-0193,True,False,False,46.2,0.016,0.92,False,none
D-000211,B-000211,T-00052,V-0396,True,False,False,38.4,0.118,1.0,False,none
D-000212,B-000212,T-00052,V-0197,True,False,False,20.4,0.042,0.96,False,none
D-000213,B-000213,T-00052,V-0361,True,False,False,19.4,0.339,0.96,False,none
D-000214,B-000214,T-00052,V-0242,True,False,False,38.1,0.318,0.93,False,none
D-000215,B-000215,T-00053,V-0460,True,False,False,44.5,0.237,0.92,False,none
D-000216,B-000216,T-00053,V-0222,True,False,False,27.0,0.152,0.92,False,none
D-000217,B-000217,T-00053,V-0333,True,False,False,35.3,0.241,0.97,False,none
D-000218,B-000218,T-00053,V-0178,True,False,False,38.3,0.108,0.97,False,none
D-000219,B-000219,T-00053,V-0091,True,False,False,37.8,0.173,0.9,False,none
D-000220,B-000220,T-00053,V-0012,True,False,False,31.4,0.341,0.99,False,none
D-000221,B-000221,T-00054,V-0468,True,False,False,56.9,0.112,0.88,False,none
D-000222,B-000222,T-00054,V-0129,True,False,False,34.1,0.087,0.87,False,none
D-000223,B-000223,T-00054,V-0257,True,False,False,29.0,0.137,1.0,False,none
D-000224,B-000224,T-00054,V-0471,True,False,False,51.6,0.122,0.92,False,none
D-000225,B-000225,T-00055,V-0311,True,False,False,30.2,0.197,0.9,False,none
D-000226,B-000226,T-00055,V-0323,True,False,False,63.9,0.058,0.88,False,none
D-000227,B-000227,T-00055,V-0232,True,False,False,47.9,0.135,0.85,False,none
D-000228,B-000228,T-00055,V-0251,True,False,False,46.2,0.033,0.99,False,none
D-000229,B-000229,T-00055,V-0088,True,False,False,52.4,0.094,0.93,False,none
D-000230,B-000230,T-00056,V-0160,True,False,False,53.2,0.278,0.97,False,none
D-000231,B-000231,T-00056,V-0049,True,False,False,48.8,0.336,0.94,False,none
D-000232,B-000232,T-00057,V-0459,True,False,False,19.1,0.076,0.88,False,none
D-000233,B-000233,T-00057,V-0363,True,False,False,53.6,0.366,0.97,False,none
D-000234,B-000234,T-00057,V-0086,True,False,False,33.3,0.424,0.97,False,none
D-000235,B-000235,T-00057,V-0463,True,False,False,50.3,0.397,0.98,False,none
D-000236,B-000236,T-00058,V-0088,True,False,False,59.5,0.032,0.94,False,none
D-000237,B-000237,T-00058,V-0227,True,False,False,45.7,0.124,0.9,False,none
D-000238,B-000238,T-00059,V-0159,True,False,False,47.3,0.24,0.88,False,none
D-000239,B-000239,T-00059,V-0140,True,False,False,41.2,0.339,0.94,False,none
D-000240,B-000240,T-00060,V-0093,True,False,False,62.0,0.058,0.99,False,price_inflation
D-000241,B-000241,T-00060,V-0373,True,False,False,21.9,0.221,0.88,False,none
D-000242,B-000242,T-00061,V-0157,True,False,False,57.6,0.068,0.87,False,none
D-000243,B-000243,T-00061,V-0428,True,False,False,55.2,0.222,0.85,False,none
D-000244,B-000244,T-00061,V-0348,True,False,False,32.8,0.148,0.85,False,none
D-000245,B-000245,T-00062,V-0427,True,False,False,53.9,0.276,0.92,False,none
D-000246,B-000246,T-00062,V-0096,True,False,False,24.8,0.078,0.86,False,none
D-000247,B-000247,T-00062,V-0139,True,False,False,62.6,0.124,0.98,False,none
D-000248,B-000248,T-00063,V-0230,True,False,False,29.8,0.405,0.92,False,none
D-000249,B-000249,T-00063,V-0424,True,False,False,34.4,0.425,0.87,False,none
D-000250,B-000250,T-00063,V-0323,True,False,False,60.3,0.146,0.94,False,none
D-000251,B-000251,T-00063,V-0351,True,False,False,53.7,0.618,0.96,False,none
D-000252,B-000252,T-00063,V-0425,True,False,False,48.6,0.199,0.97,False,none
D-000253,B-000253,T-00063,V-0087,True,False,False,42.1,0.17,0.9,False,none
D-000254,B-000254,T-00064,V-0132,True,False,False,22.3,0.431,0.97,False,none
D-000255,B-000255,T-00064,V-0111,True,False,False,38.4,0.068,0.88,False,none
D-000256,B-000256,T-00064,V-0239,True,False,False,38.7,0.473,0.96,False,none
D-000257,B-000257,T-00065,V-0461,True,False,False,41.7,0.186,0.93,False,none
D-000258,B-000258,T-00065,V-0017,True,False,False,40.6,0.189,0.98,False,none
D-000259,B-000259,T-00065,V-0165,True,False,False,50.6,0.26,0.98,False,none
D-000260,B-000260,T-00065,V-0359,True,False,False,48.6,0.293,0.86,False,none
D-000261,B-000261,T-00065,V-0053,True,False,False,52.2,0.331,0.88,False,none
D-000262,B-000262,T-00065,V-0322,True,False,False,55.9,0.34,0.97,False,none
D-000263,B-000263,T-00066,V-0374,True,False,False,74.0,0.023,0.94,False,none
D-000264,B-000264,T-00066,V-0204,True,False,False,38.4,0.095,0.98,False,none
D-000265,B-000265,T-00066,V-0242,True,False,False,54.7,0.321,1.0,False,none
D-000266,B-000266,T-00066,V-0427,True,False,False,28.3,0.214,0.85,False,none
D-000267,B-000267,T-00066,V-0124,True,False,False,63.1,0.337,0.87,False,none
D-000268,B-000268,T-00067,V-0453,True,False,False,53.8,0.337,0.94,False,none
D-000269,B-000269,T-00067,V-0305,True,False,False,33.7,0.271,0.9,False,none
D-000270,B-000270,T-00067,V-0494,True,False,False,48.9,0.065,0.9,False,none
D-000271,B-000271,T-00067,V-0357,True,False,False,38.7,0.106,0.88,False,none
D-000272,B-000272,T-00068,V-0036,True,False,True,67.7,0.264,0.85,True,bid_rigging
D-000273,B-000273,T-00068,V-0058,True,False,False,50.5,0.102,0.95,False,bid_rigging
D-000274,B-000274,T-00068,V-0099,True,False,False,44.7,0.055,0.87,False,bid_rigging
D-000275,B-000275,T-00069,V-0467,True,False,False,55.4,0.425,0.91,False,none
D-000276,B-000276,T-00069,V-0241,True,False,False,39.0,0.295,0.98,False,none
D-000277,B-000277,T-00069,V-0342,True,False,False,55.7,0.157,0.91,False,none
D-000278,B-000278,T-00070,V-0305,True,False,False,44.3,0.133,0.93,False,none
D-000279,B-000279,T-00070,V-0201,True,False,False,38.8,0.653,0.92,True,none
D-000280,B-000280,T-00070,V-0273,True,False,False,33.6,0.069,0.88,False,none
D-000281,B-000281,T-00070,V-0036,True,False,False,68.1,0.082,0.91,False,none
D-000282,B-000282,T-00070,V-0177,True,False,False,68.8,0.09,0.88,False,none
D-000283,B-000283,T-00071,V-0255,True,False,False,49.1,0.063,0.89,False,none
D-000284,B-000284,T-00071,V-0096,True,False,False,54.5,0.059,0.87,False,none
D-000285,B-000285,T-00071,V-0022,True,False,False,52.4,0.111,0.9,False,none
D-000286,B-000286,T-00072,V-0017,True,False,False,41.5,0.268,0.94,False,none
D-000287,B-000287,T-00072,V-0133,True,False,False,50.2,0.018,0.89,False,none
D-000288,B-000288,T-00072,V-0490,True,False,False,56.1,0.203,0.88,False,none
D-000289,B-000289,T-00072,V-0488,True,False,False,46.1,0.037,0.94,False,none
D-000290,B-000290,T-00072,V-0215,True,False,False,58.6,0.075,0.93,False,none
D-000291,B-000291,T-00073,V-0351,True,False,False,43.5,0.042,0.85,False,none
D-000292,B-000292,T-00073,V-0232,True,False,False,38.7,0.059,0.99,False,none
D-000293,B-000293,T-00073,V-0005,True,False,False,45.4,0.114,0.99,False,none
D-000294,B-000294,T-00073,V-0248,True,False,False,59.0,0.015,0.91,False,none
D-000295,B-000295,T-00073,V-0334,True,False,False,49.3,0.175,0.97,False,none
D-000296,B-000296,T-00074,V-0388,True,False,False,54.8,0.169,0.99,False,none
D-000297,B-000297,T-00074,V-0196,True,False,False,42.9,0.123,0.85,False,none
D-000298,B-000298,T-00074,V-0445,True,False,False,49.1,0.427,0.98,False,none
D-000299,B-000299,T-00074,V-0345,True,False,False,39.9,0.127,0.89,False,none
D-000300,B-000300,T-00074,V-0040,True,False,False,33.6,0.125,0.99,False,none
D-000301,B-000301,T-00074,V-0076,True,False,False,46.2,0.252,0.88,False,none
D-000302,B-000302,T-00075,V-0172,True,False,False,43.5,0.263,0.88,False,none
D-000303,B-000303,T-00075,V-0345,True,False,False,36.2,0.315,0.86,False,none
D-000304,B-000304,T-00075,V-0151,True,False,False,34.4,0.276,0.98,False,none
D-000305,B-000305,T-00075,V-0392,True,False,False,26.8,0.271,0.99,False,none
D-000306,B-000306,T-00075,V-0419,True,False,False,38.9,0.014,0.87,False,none
D-000307,B-000307,T-00076,V-0273,True,False,False,41.9,0.385,0.95,False,none
D-000308,B-000308,T-00076,V-0048,True,False,False,60.2,0.092,0.9,False,none
D-000309,B-000309,T-00077,V-0124,True,False,False,45.1,0.292,0.93,False,none
D-000310,B-000310,T-00077,V-0470,True,False,False,46.7,0.207,0.89,False,none
D-000311,B-000311,T-00077,V-0422,True,False,False,41.2,0.145,0.93,False,none
D-000312,B-000312,T-00077,V-0462,True,False,False,57.0,0.45,0.88,False,none
D-000313,B-000313,T-00077,V-0427,True,False,False,35.8,0.104,0.87,False,none
D-000314,B-000314,T-00077,V-0477,True,False,False,26.3,0.214,0.99,False,none
D-000315,B-000315,T-00078,V-0486,True,False,False,51.5,0.198,0.92,False,none
D-000316,B-000316,T-00078,V-0382,True,False,False,20.4,0.029,0.9,False,none
D-000317,B-000317,T-00078,V-0131,True,False,False,41.9,0.235,0.9,False,none
D-000318,B-000318,T-00079,V-0263,True,False,False,71.2,0.317,0.95,False,none
D-000319,B-000319,T-00079,V-0276,True,False,False,52.0,0.179,0.95,False,none
D-000320,B-000320,T-00079,V-0437,True,False,False,33.2,0.204,0.98,False,none
D-000321,B-000321,T-00079,V-0406,True,False,False,25.4,0.148,0.93,False,none
D-000322,B-000322,T-00079,V-0124,True,False,False,40.2,0.19,0.97,False,none
D-000323,B-000323,T-00079,V-0355,True,False,False,76.2,0.31,0.92,False,none
D-000324,B-000324,T-00080,V-0336,True,False,False,48.2,0.162,0.89,False,none
D-000325,B-000325,T-00080,V-0066,True,False,False,57.4,0.399,0.85,False,none
D-000326,B-000326,T-00080,V-0140,True,False,False,57.7,0.139,0.93,False,none
