bid_id,tender_id,vendor_id,bid_amount,submission_day_offset,submission_hour,is_winner,bid_text_similarity_score,fraud_tag
B-000148,T-00036,V-0309,479767.07,8,11,False,0.054,none
B-000149,T-00036,V-0276,429894.61,3,10,False,0.126,none
B-000150,T-00036,V-0010,419421.87,6,11,True,0.044,none
B-000151,T-00037,V-0466,36983720.64,3,16,False,0.11,none
B-000152,T-00037,V-0191,38379052.27,0,8,True,0.127,none
B-000153,T-00037,V-0169,37375630.64,8,9,False,0.075,none
B-000154,T-00038,V-0021,13898797.65,10,11,False,0.005,none
B-000155,T-00038,V-0080,12519484.9,1,14,True,0.098,none
B-000156,T-00038,V-0144,11996183.85,2,12,False,0.129,none
B-000157,T-00038,V-0154,14296407.4,1,9,False,0.076,none
B-000158,T-00038,V-0012,12861090.38,6,8,False,0.002,none
B-000159,T-00039,V-0309,13370281.34,3,17,False,0.129,none
B-000160,T-00039,V-0470,14656359.03,5,14,False,0.077,none
B-000161,T-00039,V-0077,14027613.77,0,12,False,0.041,none
B-000162,T-00039,V-0048,13945887.55,3,9,True,0.04,none
B-000163,T-00039,V-0376,15337918.15,10,17,False,0.071,none
B-000164,T-00039,V-0301,13050449.17,4,14,False,0.014,none
B-000165,T-00040,V-0287,14293923.28,8,11,False,0.057,none
B-000166,T-00040,V-0142,13586456.2,7,14,False,0.143,none
B-000167,T-00040,V-0247,13758344.86,8,9,False,0.068,none
B-000168,T-00040,V-0145,14781878.69,9,8,False,0.06,none
B-000169,T-00040,V-0464,13952708.24,3,15,True,0.055,none
B-000170,T-00041,V-0055,12944798.5,1,9,False,0.084,none
B-000171,T-00041,V-0329,13346732.36,3,15,False,0.089,none
B-000172,T-00041,V-0159,12265205.41,1,10,False,0.06,none
B-000173,T-00041,V-0170,11908380.43,7,16,False,0.108,none
B-000174,T-00041,V-0073,11753689.92,9,11,False,0.009,none
B-000175,T-00041,V-0414,11060329.2,7,12,True,0.062,none
B-000176,T-00042,V-0427,2681661.2,0,12,False,0.104,none
B-000177,T-00042,V-0077,2229140.82,8,15,False,0.082,none
B-000178,T-00042,V-0018,2355462.44,5,18,False,0.035,none
B-000179,T-00042,V-0164,2347504.68,7,15,True,0.077,none
B-000180,T-00043,V-0471,966699.55,1,14,False,0.019,none
B-000181,T-00043,V-0053,995649.76,0,10,True,0.078,none
B-000182,T-00044,V-0011,13452591.01,6,15,True,0.034,conflict_of_interest
B-000183,T-00044,V-0446,13424251.1,7,10,False,0.15,none
B-000184,T-00044,V-0498,12942567.48,6,8,False,0.059,none
B-000185,T-00045,V-0368,9620931.95,8,13,False,0.092,none
B-000186,T-00045,V-0472,8828543.39,5,17,False,0.098,none
B-000187,T-00045,V-0450,9056868.25,2,12,True,0.078,none
B-000188,T-00045,V-0346,9303716.8,3,17,False,0.143,none
B-000189,T-00046,V-0265,11947782.8,3,13,False,0.139,none
B-000190,T-00046,V-0309,13298468.41,2,10,False,0.079,none
B-000191,T-00046,V-0128,12486056.81,7,8,False,0.048,none
B-000192,T-00046,V-0241,12663551.17,2,10,True,0.071,none
B-000193,T-00047,V-0159,3140958.55,3,9,True,0.081,none
B-000194,T-00047,V-0359,3233502.81,5,9,False,0.009,none
B-000195,T-00048,V-0304,458707.71,3,13,False,0.094,none
B-000196,T-00048,V-0080,418470.57,3,12,False,0.043,none
B-000197,T-00048,V-0034,464661.28,6,17,False,0.109,none
B-000198,T-00048,V-0179,436044.75,5,17,False,0.115,none
B-000199,T-00048,V-0325,439386.57,4,16,True,0.081,none
B-000200,T-00049,V-0039,515805.42,3,12,True,0.027,none
B-000201,T-00049,V-0303,535295.52,9,9,False,0.019,none
B-000202,T-00049,V-0078,498911.13,8,17,False,0.097,none
B-000203,T-00050,V-0169,504718.09,4,17,False,0.1,none
B-000204,T-00050,V-0294,546146.33,7,11,False,0.025,none
B-000205,T-00050,V-0395,502693.93,3,11,False,0.014,none
B-000206,T-00050,V-0436,572889.45,9,10,False,0.021,none
B-000207,T-00050,V-0303,512349.64,7,8,True,0.049,none
B-000208,T-00051,V-0070,429241.65,6,18,False,0.071,none
B-000209,T-00051,V-0261,501639.69,4,16,True,0.114,none
B-000210,T-00052,V-0193,1236594.62,4,16,False,0.048,none
B-000211,T-00052,V-0396,1302501.14,1,17,False,0.126,none
B-000212,T-00052,V-0197,1257777.03,2,18,True,0.125,none
B-000213,T-00052,V-0361,1198903.46,2,14,False,0.084,none
B-000214,T-00052,V-0242,1120139.94,7,12,False,0.103,none
B-000215,T-00053,V-0460,671318.49,7,18,False,0.052,none
B-000216,T-00053,V-0222,645151.38,6,11,False,0.093,none
B-000217,T-00053,V-0333,656164.74,3,14,True,0.056,none
B-000218,T-00053,V-0178,703853.2,0,11,False,0.066,none
B-000219,T-00053,V-0091,747961.23,8,11,False,0.001,none
B-000220,T-00053,V-0012,695943.61,4,13,False,0.014,none
B-000221,T-00054,V-0468,1811334.94,9,12,True,0.005,none
B-000222,T-00054,V-0129,2003404.66,4,18,False,0.072,none
B-000223,T-00054,V-0257,2091452.95,0,12,False,0.041,none
B-000224,T-00054,V-0471,1879956.13,0,17,False,0.123,none
B-000225,T-00055,V-0311,1957929.02,10,16,False,0.121,none
B-000226,T-00055,V-0323,1975539.9,0,13,False,0.004,none
B-000227,T-00055,V-0232,1880846.45,2,10,False,0.131,none
B-000228,T-00055,V-0251,2050574.98,2,9,True,0.063,none
B-000229,T-00055,V-0088,1959476.76,1,8,False,0.067,none
B-000230,T-00056,V-0160,5818717.27,3,18,False,0.092,none
B-000231,T-00056,V-0049,5373609.11,0,13,True,0.126,none
B-000232,T-00057,V-0459,4311719.62,8,8,False,0.141,none
B-000233,T-00057,V-0363,4619861.79,6,14,False,0.126,none
B-000234,T-00057,V-0086,4328889.01,10,8,True,0.01,none
B-000235,T-00057,V-0463,4886755.77,8,10,False,0.109,none
B-000236,T-00058,V-0088,8226558.87,4,17,True,0.03,none
B-000237,T-00058,V-0227,8542290.3,8,14,False,0.026,none
B-000238,T-00059,V-0159,1738324.99,1,13,False,0.07,none
B-000239,T-00059,V-0140,1506114.82,1,17,True,0.14,none
B-000240,T-00060,V-0093,3767461.82,0,10,True,0.237,price_inflation
B-000241,T-00060,V-0373,2815263.4,5,15,False,0.024,none
B-000242,T-00061,V-0157,876966.45,3,10,False,0.047,none
B-000243,T-00061,V-0428,890801.34,6,12,False,0.027,none
B-000244,T-00061,V-0348,1054843.78,2,17,True,0.047,none
B-000245,T-00062,V-0427,640215.22,2,12,True,0.039,none
B-000246,T-00062,V-0096,763772.76,7,12,False,0.014,none
B-000247,T-00062,V-0139,639723.01,5,17,False,0.055,none
B-000248,T-00063,V-0230,663979.56,9,14,True,0.023,none
B-000249,T-00063,V-0424,717470.72,9,11,False,0.149,none
B-000250,T-00063,V-0323,735752.79,6,13,False,0.097,none
B-000251,T-00063,V-0351,737936.11,10,12,False,0.031,none
B-000252,T-00063,V-0425,704320.39,8,16,False,0.124,none
B-000253,T-00063,V-0087,697058.37,4,9,False,0.077,none
B-000254,T-00064,V-0132,673126.3,0,9,False,0.078,none
B-000255,T-00064,V-0111,680374.02,10,10,True,0.071,none
B-000256,T-00064,V-0239,628520.33,7,17,False,0.048,none
B-000257,T-00065,V-0461,4347980.06,0,10,False,0.063,none
B-000258,T-00065,V-0017,4571524.72,5,13,False,0.097,none
B-000259,T-00065,V-0165,4525760.84,1,10,True,0.137,none
B-000260,T-00065,V-0359,4448108.72,4,10,False,0.07,none
B-000261,T-00065,V-0053,4763502.32,2,8,False,0.066,none
B-000262,T-00065,V-0322,4834535.64,9,15,False,0.089,none
B-000263,T-00066,V-0374,1671641.05,5,17,False,0.051,none
B-000264,T-00066,V-0204,1810232.82,10,14,False,0.045,none
B-000265,T-00066,V-0242,1548915.3,3,16,True,0.016,none
B-000266,T-00066,V-0427,1643499.5,6,12,False,0.143,none
B-000267,T-00066,V-0124,1591303.94,6,17,False,0.004,none
B-000268,T-00067,V-0453,1691317.28,9,10,False,0.019,none
B-000269,T-00067,V-0305,1895171.32,5,8,True,0.146,none
B-000270,T-00067,V-0494,1890706.88,4,10,False,0.12,none
B-000271,T-00067,V-0357,2077572.62,7,14,False,0.025,none
B-000272,T-00068,V-0036,29659211.09,0,8,True,0.907,bid_rigging
B-000273,T-00068,V-0058,35338710.41,0,9,False,0.851,bid_rigging
B-000274,T-00068,V-0099,32754671.26,0,9,False,0.921,bid_rigging
B-000275,T-00069,V-0467,2707015.28,7,11,False,0.114,none
B-000276,T-00069,V-0241,2448011.85,1,14,True,0.019,none
B-000277,T-00069,V-0342,2898455.9,2,14,False,0.116,none
B-000278,T-00070,V-0305,19204129.98,10,17,False,0.004,none
B-000279,T-00070,V-0201,18518172.05,9,10,False,0.115,none
B-000280,T-00070,V-0273,17650083.38,5,13,False,0.051,none
B-000281,T-00070,V-0036,16863187.05,0,17,True,0.09,none
B-000282,T-00070,V-0177,17493636.37,6,9,False,0.097,none
B-000283,T-00071,V-0255,1994484.39,4,14,True,0.014,none
B-000284,T-00071,V-0096,2083881.67,6,18,False,0.027,none
B-000285,T-00071,V-0022,2045538.28,2,12,False,0.047,none
B-000286,T-00072,V-0017,1694323.56,2,14,False,0.102,none
B-000287,T-00072,V-0133,1628262.42,1,15,True,0.121,none
B-000288,T-00072,V-0490,1760276.59,5,18,False,0.11,none
B-000289,T-00072,V-0488,1560310.47,10,14,False,0.121,none
B-000290,T-00072,V-0215,1779367.16,0,10,False,0.048,none
B-000291,T-00073,V-0351,184268.97,6,8,False,0.045,none
B-000292,T-00073,V-0232,180716.87,4,18,False,0.017,none
B-000293,T-00073,V-0005,168126.67,7,16,False,0.056,none
B-000294,T-00073,V-0248,191644.64,7,13,True,0.127,none
B-000295,T-00073,V-0334,179973.23,5,9,False,0.118,none
B-000296,T-00074,V-0388,303638.49,5,17,True,0.039,none
B-000297,T-00074,V-0196,270283.27,8,17,False,0.109,none
B-000298,T-00074,V-0445,326022.36,7,14,False,0.007,none
B-000299,T-00074,V-0345,361286.43,4,8,False,0.018,none
B-000300,T-00074,V-0040,359111.68,7,15,False,0.055,none
B-000301,T-00074,V-0076,317605.28,9,18,False,0.055,none
B-000302,T-00075,V-0172,1934504.91,8,12,True,0.027,none
B-000303,T-00075,V-0345,2063474.64,5,14,False,0.003,none
B-000304,T-00075,V-0151,1886797.14,5,12,False,0.095,none
B-000305,T-00075,V-0392,2043366.38,9,9,False,0.054,none
B-000306,T-00075,V-0419,2099276.66,0,16,False,0.111,none
B-000307,T-00076,V-0273,5251847.07,2,18,True,0.074,none
B-000308,T-00076,V-0048,4862341.35,4,13,False,0.146,none
B-000309,T-00077,V-0124,24392848.26,8,17,False,0.069,none
B-000310,T-00077,V-0470,23393739.95,1,13,False,0.056,none
B-000311,T-00077,V-0422,23469456.98,2,17,False,0.147,none
B-000312,T-00077,V-0462,24359058.39,10,9,False,0.057,none
B-000313,T-00077,V-0427,25238944.35,1,13,False,0.139,none
B-000314,T-00077,V-0477,26048265.0,4,14,True,0.06,none
B-000315,T-00078,V-0486,1186717.8,10,9,False,0.126,none
B-000316,T-00078,V-0382,1358467.35,6,9,False,0.119,none
B-000317,T-00078,V-0131,1226519.86,9,12,True,0.149,none
B-000318,T-00079,V-0263,1346418.69,5,17,True,0.071,none
B-000319,T-00079,V-0276,1287706.0,6,12,False,0.112,none
B-000320,T-00079,V-0437,1152053.13,2,12,False,0.075,none
B-000321,T-00079,V-0406,1419656.46,0,17,False,0.06,none
B-000322,T-00079,V-0124,1407749.51,2,18,False,0.043,none
B-000323,T-00079,V-0355,1325390.81,0,14,False,0.031,none
B-000324,T-00080,V-0336,1225807.16,10,13,False,0.015,none
B-000325,T-00080,V-0066,1258694.43,3,8,False,0.106,none
B-000326,T-00080,V-0140,1106437.1,3,9,False,0.092,none
B-000327,T-00080,V-0136,1182144.6,9,15,False,0.088,none
B-000328,T-00080,V-0236,1279082.88,10,17,True,0.049,none
B-000329,T-00081,V-0243,1106734.51,5,13,False,0.123,none
B-000330,T-00081,V-0476,1217882.59,2,15,False,0.128,none
B-000331,T-00081,V-0285,1099389.08,7,11,True,0.08,none
B-000332,T-00081,V-0006,1230296.21,2,18,False,0.059,none
B-000333,T-00081,V-0175,1194243.38,6,8,False,0.099,none
B-000334,T-00082,V-0495,1159286.94,3,16,True,0.055,none
B-000335,T-00082,V-0040,1373395.89,4,13,False,0.068,none
B-000336,T-00082,V-0323,1227107.18,7,8,False,0.023,none
B-000337,T-00082,V-0249,1221279.69,9,10,False,0.094,none
B-000338,T-00082,V-0287,1299134.37,9,14,False,0.062,none
B-000339,T-00082,V-0176,1372155.69,0,12,False,0.083,none
B-000340,T-00083,V-0192,7245566.63,6,17,True,0.142,none
B-000341,T-00083,V-0471,7744396.58,1,9,False,0.059,none
B-000342,T-00083,V-0275,7914362.68,3,9,False,0.086,none
B-000343,T-00084,V-0442,2644452.91,6,16,False,0.061,none
B-000344,T-00084,V-0081,2565748.32,3,14,False,0.135,none
B-000345,T-00084,V-0392,2482960.41,4,13,True,0.116,none
B-000346,T-00085,V-0340,3072330.62,8,16,False,0.08,none
B-000347,T-00085,V-0452,3249569.06,3,14,True,0.074,none
B-000348,T-00086,V-0146,22716185.6,6,12,False,0.001,none
B-000349,T-00086,V-0422,20022482.27,5,15,True,0.098,none
B-000350,T-00086,V-0473,24913872.06,10,9,False,0.058,none
B-000351,T-00086,V-0230,25594686.4,10,14,False,0.146,none
B-000352,T-00086,V-0080,20835916.85,6,11,False,0.095,none
B-000353,T-00087,V-0312,1194065.99,9,17,True,0.11,none
B-000354,T-00087,V-0317,1318291.84,0,13,False,0.091,none
B-000355,T-00087,V-0257,1427985.99,2,17,False,0.094,none
B-000356,T-00088,V-0011,4229247.71,8,16,False,0.13,none
B-000357,T-00088,V-0380,4039473.69,2,15,False,0.055,none
B-000358,T-00088,V-0307,4177624.75,3,10,False,0.071,none
B-000359,T-00088,V-0452,4572424.63,3,13,True,0.02,none
B-000360,T-00089,V-0457,3757435.32,9,15,True,0.069,none
B-000361,T-00089,V-0015,3721497.84,10,17,False,0.067,none
B-000362,T-00090,V-0498,2127668.28,1,17,False,0.126,none
B-000363,T-00090,V-0236,2065801.39,2,11,False,0.069,none
B-000364,T-00090,V-0256,2207260.83,1,8,True,0.112,none
B-000365,T-00091,V-0443,8836574.84,6,12,True,0.133,none
B-000366,T-00091,V-0266,8207770.43,8,9,False,0.107,none
B-000367,T-00091,V-0240,7929778.03,9,18,False,0.148,none
B-000368,T-00091,V-0441,7910715.93,0,15,False,0.072,none
B-000369,T-00091,V-0197,7296510.67,0,12,False,0.122,none
B-000370,T-00092,V-0186,8313452.66,6,9,False,0.016,none
B-000371,T-00092,V-0204,7858245.31,4,17,True,0.113,none
B-000372,T-00093,V-0369,7866925.62,6,18,False,0.051,none
B-000373,T-00093,V-0086,9476743.72,3,15,True,0.032,none
B-000374,T-00094,V-0168,8590799.72,7,15,True,0.113,none
B-000375,T-00094,V-0328,8058834.52,4,13,False,0.044,none
B-000376,T-00095,V-0169,7886611.66,4,17,False,0.005,none
B-000377,T-00095,V-0403,8651366.94,2,10,False,0.078,none
B-000378,T-00095,V-0230,8148665.58,0,11,False,0.132,none
B-000379,T-00095,V-0358,7395203.34,9,13,False,0.107,none
B-000380,T-00095,V-0132,8540054.8,4,10,True,0.085,none
B-000381,T-00096,V-0344,594639.59,2,17,False,0.044,none
B-000382,T-00096,V-0150,689100.93,6,12,True,0.096,none
B-000383,T-00096,V-0079,659617.11,0,11,False,0.087,none
B-000384,T-00096,V-0380,602847.2,2,17,False,0.002,none
B-000385,T-00096,V-0412,667086.78,5,16,False,0.112,none
B-000386,T-00097,V-0207,4159133.42,10,10,False,0.088,none
B-000387,T-00097,V-0244,4354213.94,8,13,False,0.079,none
B-000388,T-00097,V-0316,4262742.49,6,15,True,0.097,none
B-000389,T-00097,V-0460,3931918.66,8,15,False,0.026,none
B-000390,T-00097,V-0087,3982323.48,6,8,False,0.1,none
B-000391,T-00097,V-0497,4398251.35,1,13,False,0.034,none
B-000392,T-00098,V-0142,1277657.69,1,18,False,0.03,none
B-000393,T-00098,V-0311,1272269.69,7,15,False,0.085,none
B-000394,T-00098,V-0398,1229127.4,10,8,True,0.126,none
B-000395,T-00099,V-0459,1259935.19,6,18,True,0.015,none
B-000396,T-00099,V-0116,1380760.72,5,16,False,0.01,none
B-000397,T-00099,V-0379,1150005.38,8,16,False,0.127,none
B-000398,T-00099,V-0103,1230491.98,8,9,False,0.146,none
B-000399,T-00099,V-0186,1332818.73,0,15,False,0.085,none
B-000400,T-00099,V-0340,1222835.11,3,11,False,0.038,none
B-000401,T-00100,V-0353,1540292.98,3,15,True,0.027,none
B-000402,T-00100,V-0479,1404001.31,9,12,False,0.083,none
B-000403,T-00100,V-0333,1538127.75,1,11,False,0.11,none
B-000404,T-00101,V-0463,39424488.6,8,12,True,0.009,none
B-000405,T-00101,V-0462,42230393.21,3,11,False,0.088,none
B-000406,T-00102,V-0244,2570505.97,5,18,True,0.011,none
B-000407,T-00102,V-0237,2772382.03,7,9,False,0.066,none
B-000408,T-00102,V-0050,2483005.81,7,11,False,0.015,none
B-000409,T-00102,V-0274,2446460.09,9,11,False,0.09,none
B-000410,T-00102,V-0451,2427540.28,4,17,False,0.001,none
B-000411,T-00102,V-0400,2348707.64,6,9,False,0.108,none
B-000412,T-00103,V-0398,1870271.32,7,8,False,0.038,none
B-000413,T-00103,V-0329,1800554.94,6,17,False,0.041,none
B-000414,T-00103,V-0099,1851571.75,10,10,False,0.049,none
B-000415,T-00103,V-0301,1977956.82,7,16,False,0.043,none
B-000416,T-00103,V-0412,1722341.76,10,12,True,0.04,none
B-000417,T-00104,V-0127,2135236.05,10,15,False,0.017,none
B-000418,T-00104,V-0174,2156489.01,2,15,False,0.001,none
B-000419,T-00104,V-0140,1984391.86,8,15,True,0.074,none
B-000420,T-00104,V-0347,1744111.85,2,9,False,0.114,none
B-000421,T-00104,V-0287,1925664.06,10,12,False,0.014,none
