payment_id,contract_id,invoice_number,invoice_amount,duplicate_invoice_flag,intermediary_vendor_id,fraud_tag
P-000063,C-00021,INV-C-00021-0,25331659.78,True,,duplicate_invoice
P-000064,C-00022,INV-C-00022-0,13135575.5,True,,duplicate_invoice
P-000065,C-00022,INV-C-00022-1,13135575.5,True,,duplicate_invoice
P-000066,C-00023,INV-C-00023-0,2415555.87,False,,change_order_abuse
P-000067,C-00024,INV-C-00024-0,2109172.27,False,,change_order_abuse
P-000068,C-00025,INV-C-00025-0,608532.79,False,,change_order_abuse
P-000069,C-00025,INV-C-00025-1,608532.79,False,,change_order_abuse
P-000070,C-00025,INV-C-00025-2,608532.79,False,,change_order_abuse
P-000071,C-00025,INV-C-00025-3,608532.79,False,,change_order_abuse
P-000072,C-00026,INV-C-00026-0,5057120.82,False,,shell_company
P-000073,C-00026,INV-C-00026-1,5057120.82,False,,shell_company
P-000074,C-00026,INV-C-00026-2,5057120.82,False,,shell_company
P-000075,C-00027,INV-C-00027-0,5105228.75,False,,change_order_abuse
P-000076,C-00028,INV-C-00028-0,201356.91,False,,change_order_abuse
P-000077,C-00028,INV-C-00028-1,201356.91,False,,change_order_abuse
P-000078,C-00028,INV-C-00028-2,201356.91,False,,change_order_abuse
P-000079,C-00029,INV-C-00029-0,152215.76,False,,change_order_abuse
P-000080,C-00029,INV-C-00029-1,152215.76,False,,change_order_abuse
P-000081,C-00029,INV-C-00029-2,152215.76,False,,change_order_abuse
P-000082,C-00030,INV-C-00030-0,1226581.73,False,,change_order_abuse
P-000083,C-00030,INV-C-00030-1,1226581.73,False,,change_order_abuse
P-000084,C-00031,INV-C-00031-0,2393316.27,False,,change_order_abuse
P-000085,C-00032,INV-C-00032-0,5941479.64,True,,duplicate_invoice
P-000086,C-00033,INV-C-00033-0,6059360.69,False,,change_order_abuse
P-000087,C-00033,INV-C-00033-1,6059360.69,False,,change_order_abuse
P-000088,C-00033,INV-C-00033-2,6059360.69,False,,change_order_abuse
P-000089,C-00033,INV-C-00033-3,6059360.69,False,,change_order_abuse
P-000090,C-00034,INV-C-00034-0,436630.18,False,,change_order_abuse
P-000091,C-00035,INV-C-00035-0,184334.15,False,,change_order_abuse
P-000092,C-00035,INV-C-00035-1,184334.15,False,,change_order_abuse
P-000093,C-00035,INV-C-00035-2,184334.15,False,,change_order_abuse
P-000094,C-00036,INV-C-00036-0,279614.58,True,,duplicate_invoice
P-000095,C-00036,INV-C-00036-1,279614.58,True,,duplicate_invoice
P-000096,C-00036,INV-C-00036-2,279614.58,True,,duplicate_invoice
P-000097,C-00037,INV-C-00037-0,12140639.45,False,V-0166,pass_through_cartel
P-000098,C-00037,INV-C-00037-1,12140639.45,False,V-0125,pass_through_cartel
P-000099,C-00037,INV-C-00037-2,12140639.45,False,V-0125,pass_through_cartel
P-000100,C-00037,INV-C-00037-3,12140639.45,False,V-0083,pass_through_cartel
P-000101,C-00038,INV-C-00038-0,6259742.45,True,,duplicate_invoice
P-000102,C-00038,INV-C-00038-1,6259742.45,True,,duplicate_invoice
P-000103,C-00038,INV-C-00038-2,6259742.45,True,,duplicate_invoice
P-000104,C-00038,INV-C-00038-3,6259742.45,True,,duplicate_invoice
P-000105,C-00039,INV-C-00039-0,13945887.55,False,,change_order_abuse
P-000106,C-00040,INV-C-00040-0,4650902.75,False,,phantom_project
P-000107,C-00040,INV-C-00040-1,4650902.75,False,,phantom_project
P-000108,C-00040,INV-C-00040-2,4650902.75,False,,phantom_project
P-000109,C-00041,INV-C-00041-0,11060329.2,True,,duplicate_invoice
P-000110,C-00041,INV-C-00041-1,11060329.2,True,,duplicate_invoice
P-000111,C-00042,INV-C-00042-0,1173752.34,False,,none
P-000112,C-00042,INV-C-00042-1,1173752.34,False,,none
P-000113,C-00043,INV-C-00043-0,497824.88,True,,duplicate_invoice
P-000114,C-00043,INV-C-00043-1,497824.88,True,,duplicate_invoice
P-000115,C-00043,INV-C-00043-2,497824.88,True,,duplicate_invoice
P-000116,C-00043,INV-C-00043-3,497824.88,True,,duplicate_invoice
P-000117,C-00044,INV-C-00044-0,3363147.75,False,,conflict_of_interest
P-000118,C-00044,INV-C-00044-1,3363147.75,False,,conflict_of_interest
P-000119,C-00044,INV-C-00044-2,3363147.75,False,,conflict_of_interest
P-000120,C-00044,INV-C-00044-3,3363147.75,False,,conflict_of_interest
P-000121,C-00045,INV-C-00045-0,2264217.06,False,,phantom_project
P-000122,C-00045,INV-C-00045-1,2264217.06,False,,phantom_project
P-000123,C-00045,INV-C-00045-2,2264217.06,False,,phantom_project
P-000124,C-00045,INV-C-00045-3,2264217.06,False,,phantom_project
P-000125,C-00046,INV-C-00046-0,25327102.34,True,,duplicate_invoice
P-000126,C-00047,INV-C-00047-0,3140958.55,False,,phantom_project
P-000127,C-00048,INV-C-00048-0,268821.8,False,V-0407,pass_through_cartel
P-000128,C-00048,INV-C-00048-1,268821.8,False,V-0407,pass_through_cartel
P-000129,C-00049,INV-C-00049-0,128951.35,False,,phantom_project
P-000130,C-00049,INV-C-00049-1,128951.35,False,,phantom_project
P-000131,C-00049,INV-C-00049-2,128951.35,False,,phantom_project
P-000132,C-00049,INV-C-00049-3,128951.35,False,,phantom_project
P-000133,C-00050,INV-C-00050-0,170783.21,False,,none
P-000134,C-00050,INV-C-00050-1,170783.21,False,,none
P-000135,C-00050,INV-C-00050-2,170783.21,False,,none
P-000136,C-00051,INV-C-00051-0,167213.23,False,,none
P-000137,C-00051,INV-C-00051-1,167213.23,False,,none
P-000138,C-00051,INV-C-00051-2,167213.23,False,,none
P-000139,C-00052,INV-C-00052-0,1257777.03,False,,none
P-000140,C-00053,INV-C-00053-0,656164.74,False,,phantom_project
P-000141,C-00054,INV-C-00054-0,452833.73,False,,phantom_project
P-000142,C-00054,INV-C-00054-1,452833.73,False,,phantom_project
P-000143,C-00054,INV-C-00054-2,452833.73,False,,phantom_project
P-000144,C-00054,INV-C-00054-3,452833.73,False,,phantom_project
P-000145,C-00055,INV-C-00055-0,512643.74,False,,phantom_project
P-000146,C-00055,INV-C-00055-1,512643.74,False,,phantom_project
P-000147,C-00055,INV-C-00055-2,512643.74,False,,phantom_project
P-000148,C-00055,INV-C-00055-3,512643.74,False,,phantom_project
P-000149,C-00056,INV-C-00056-0,5373609.11,False,,phantom_project
P-000150,C-00057,INV-C-00057-0,2164444.5,False,,phantom_project
P-000151,C-00057,INV-C-00057-1,2164444.5,False,,phantom_project
P-000152,C-00058,INV-C-00058-0,8226558.87,False,,phantom_project
P-000153,C-00059,INV-C-00059-0,502038.27,False,,phantom_project
P-000154,C-00059,INV-C-00059-1,502038.27,False,,phantom_project
P-000155,C-00059,INV-C-00059-2,502038.27,False,,phantom_project
P-000156,C-00060,INV-C-00060-0,1883730.91,False,,price_inflation
P-000157,C-00060,INV-C-00060-1,1883730.91,False,,price_inflation
P-000158,C-00061,INV-C-00061-0,263710.95,False,,phantom_project
P-000159,C-00061,INV-C-00061-1,263710.95,False,,phantom_project
P-000160,C-00061,INV-C-00061-2,263710.95,False,,phantom_project
P-000161,C-00061,INV-C-00061-3,263710.95,False,,phantom_project
P-000162,C-00062,INV-C-00062-0,213405.07,False,,misrepresented_status
P-000163,C-00062,INV-C-00062-1,213405.07,False,,misrepresented_status
P-000164,C-00062,INV-C-00062-2,213405.07,False,,misrepresented_status
P-000165,C-00063,INV-C-00063-0,663979.56,True,,duplicate_invoice
P-000166,C-00063,INV-C-00063-1,663979.56,True,,duplicate_invoice
P-000167,C-00064,INV-C-00064-0,415748.16,False,V-0029,pass_through_cartel
P-000168,C-00064,INV-C-00064-1,415748.16,False,V-0125,pass_through_cartel
P-000169,C-00065,INV-C-00065-0,2262880.42,False,,misrepresented_status
P-000170,C-00065,INV-C-00065-1,2262880.42,False,,misrepresented_status
P-000171,C-00066,INV-C-00066-0,3097830.6,True,,duplicate_invoice
P-000172,C-00067,INV-C-00067-0,1895171.32,True,,duplicate_invoice
P-000173,C-00067,INV-C-00067-1,1895171.32,True,,duplicate_invoice
P-000174,C-00068,INV-C-00068-0,9886403.7,False,,bid_rigging
P-000175,C-00068,INV-C-00068-1,9886403.7,False,,bid_rigging
P-000176,C-00068,INV-C-00068-2,9886403.7,False,,bid_rigging
P-000177,C-00069,INV-C-00069-0,816003.95,False,,misrepresented_status
P-000178,C-00069,INV-C-00069-1,816003.95,False,,misrepresented_status
P-000179,C-00069,INV-C-00069-2,816003.95,False,,misrepresented_status
P-000180,C-00070,INV-C-00070-0,16863187.05,False,,misrepresented_status
P-000181,C-00071,INV-C-00071-0,498621.1,False,,misrepresented_status
P-000182,C-00071,INV-C-00071-1,498621.1,False,,misrepresented_status
P-000183,C-00071,INV-C-00071-2,498621.1,False,,misrepresented_status
P-000184,C-00071,INV-C-00071-3,498621.1,False,,misrepresented_status
P-000185,C-00072,INV-C-00072-0,1628262.42,False,,misrepresented_status
P-000186,C-00073,INV-C-00073-0,127763.09,True,,duplicate_invoice
P-000187,C-00073,INV-C-00073-1,127763.09,True,,duplicate_invoice
P-000188,C-00073,INV-C-00073-2,127763.09,True,,duplicate_invoice
P-000189,C-00074,INV-C-00074-0,303638.49,False,,misrepresented_status
P-000190,C-00075,INV-C-00075-0,644834.97,False,,none
P-000191,C-00075,INV-C-00075-1,644834.97,False,,none
P-000192,C-00075,INV-C-00075-2,644834.97,False,,none
P-000193,C-00076,INV-C-00076-0,2625923.54,False,,misrepresented_status
P-000194,C-00076,INV-C-00076-1,2625923.54,False,,misrepresented_status
P-000195,C-00077,INV-C-00077-0,6512066.25,False,,misrepresented_status
P-000196,C-00077,INV-C-00077-1,6512066.25,False,,misrepresented_status
P-000197,C-00077,INV-C-00077-2,6512066.25,False,,misrepresented_status
P-000198,C-00077,INV-C-00077-3,6512066.25,False,,misrepresented_status
P-000199,C-00078,INV-C-00078-0,613259.93,True,,duplicate_invoice
P-000200,C-00078,INV-C-00078-1,613259.93,True,,duplicate_invoice
P-000201,C-00078,INV-C-00078-2,613259.93,True,,duplicate_invoice
P-000202,C-00078,INV-C-00078-3,613259.93,True,,duplicate_invoice
P-000203,C-00079,INV-C-00079-0,387632.06,False,V-0029,pass_through_cartel
P-000204,C-00079,INV-C-00079-1,387632.06,False,V-0125,pass_through_cartel
P-000205,C-00079,INV-C-00079-2,387632.06,False,V-0281,pass_through_cartel
P-000206,C-00079,INV-C-00079-3,387632.06,False,V-0281,pass_through_cartel
P-000207,C-00080,INV-C-00080-0,319770.72,False,,none
P-000208,C-00080,INV-C-00080-1,319770.72,False,,none
P-000209,C-00080,INV-C-00080-2,319770.72,False,,none
P-000210,C-00080,INV-C-00080-3,319770.72,False,,none
P-000211,C-00081,INV-C-00081-0,732926.05,True,,duplicate_invoice
P-000212,C-00081,INV-C-00081-1,732926.05,True,,duplicate_invoice
P-000213,C-00081,INV-C-00081-2,732926.05,True,,duplicate_invoice
P-000214,C-00082,INV-C-00082-0,1159286.94,False,,misrepresented_status
P-000215,C-00083,INV-C-00083-0,1811391.66,False,,misrepresented_status
P-000216,C-00083,INV-C-00083-1,1811391.66,False,,misrepresented_status
P-000217,C-00083,INV-C-00083-2,1811391.66,False,,misrepresented_status
P-000218,C-00083,INV-C-00083-3,1811391.66,False,,misrepresented_status
P-000219,C-00084,INV-C-00084-0,846504.41,False,V-0323,pass_through_cartel
P-000220,C-00084,INV-C-00084-1,846504.41,False,V-0121,pass_through_cartel
P-000221,C-00084,INV-C-00084-2,846504.41,False,V-0083,pass_through_cartel
P-000222,C-00084,INV-C-00084-3,846504.41,False,V-0121,pass_through_cartel
P-000223,C-00085,INV-C-00085-0,1624784.53,False,,misrepresented_status
P-000224,C-00085,INV-C-00085-1,1624784.53,False,,misrepresented_status
P-000225,C-00086,INV-C-00086-0,20022482.27,False,,none
P-000226,C-00087,INV-C-00087-0,298516.5,False,,misrepresented_status
P-000227,C-00087,INV-C-00087-1,298516.5,False,,misrepresented_status
P-000228,C-00087,INV-C-00087-2,298516.5,False,,misrepresented_status
P-000229,C-00087,INV-C-00087-3,298516.5,False,,misrepresented_status
P-000230,C-00088,INV-C-00088-0,2286212.31,False,,misrepresented_status
P-000231,C-00088,INV-C-00088-1,2286212.31,False,,misrepresented_status
P-000232,C-00089,INV-C-00089-0,1183677.59,False,V-0281,pass_through_cartel
P-000233,C-00089,INV-C-00089-1,1183677.59,False,V-0166,pass_through_cartel
P-000234,C-00089,INV-C-00089-2,1183677.59,False,V-0125,pass_through_cartel
P-000235,C-00089,INV-C-00089-3,1183677.59,False,V-0407,pass_through_cartel
P-000236,C-00090,INV-C-00090-0,2207260.83,True,,duplicate_invoice
P-000237,C-00090,INV-C-00090-1,2207260.83,True,,duplicate_invoice
P-000238,C-00091,INV-C-00091-0,8836574.84,False,,misrepresented_status
P-000239,C-00092,INV-C-00092-0,3396221.98,False,V-0281,pass_through_cartel
P-000240,C-00092,INV-C-00092-1,3396221.98,False,V-0407,pass_through_cartel
P-000241,C-00092,INV-C-00092-2,3396221.98,False,V-0121,pass_through_cartel
P-000242,C-00093,INV-C-00093-0,13188363.33,False,V-0029,pass_through_cartel
P-000243,C-00094,INV-C-00094-0,2863599.91,False,,misrepresented_status
P-000244,C-00094,INV-C-00094-1,2863599.91,False,,misrepresented_status
P-000245,C-00094,INV-C-00094-2,2863599.91,False,,misrepresented_status
P-000246,C-00095,INV-C-00095-0,3417718.95,False,V-0425,pass_through_cartel
P-000247,C-00095,INV-C-00095-1,3417718.95,False,V-0166,pass_through_cartel
P-000248,C-00095,INV-C-00095-2,3417718.95,False,V-0125,pass_through_cartel
P-000249,C-00096,INV-C-00096-0,229700.31,False,,none
P-000250,C-00096,INV-C-00096-1,229700.31,False,,none
P-000251,C-00096,INV-C-00096-2,229700.31,False,,none
P-000252,C-00097,INV-C-00097-0,4262742.49,False,,misrepresented_status
P-000253,C-00098,INV-C-00098-0,1229127.4,False,,misrepresented_status
P-000254,C-00099,INV-C-00099-0,419978.4,False,,product_substitution
P-000255,C-00099,INV-C-00099-1,419978.4,False,,product_substitution
P-000256,C-00099,INV-C-00099-2,419978.4,False,,product_substitution
P-000257,C-00100,INV-C-00100-0,770146.49,True,,duplicate_invoice
P-000258,C-00100,INV-C-00100-1,770146.49,True,,duplicate_invoice
P-000259,C-00100,INV-C-00100-2,770146.49,True,,duplicate_invoice
P-000260,C-00100,INV-C-00100-3,770146.49,True,,duplicate_invoice
P-000261,C-00101,INV-C-00101-0,19712244.3,False,,product_substitution
P-000262,C-00101,INV-C-00101-1,19712244.3,False,,product_substitution
P-000263,C-00102,INV-C-00102-0,991591.8,False,V-0281,pass_through_cartel
P-000264,C-00102,INV-C-00102-1,991591.8,False,V-0125,pass_through_cartel
P-000265,C-00102,INV-C-00102-2,991591.8,False,V-0298,pass_through_cartel
P-000266,C-00103,INV-C-00103-0,1722341.76,False,,product_substitution
P-000267,C-00104,INV-C-00104-0,496097.97,False,,none
P-000268,C-00104,INV-C-00104-1,496097.97,False,,none
P-000269,C-00104,INV-C-00104-2,496097.97,False,,none
P-000270,C-00104,INV-C-00104-3,496097.97,False,,none
P-000271,C-00105,INV-C-00105-0,2334593.25,False,V-0125,pass_through_cartel
P-000272,C-00106,INV-C-00106-0,755857.24,False,V-0083,pass_through_cartel
P-000273,C-00106,INV-C-00106-1,755857.24,False,V-0083,pass_through_cartel
P-000274,C-00106,INV-C-00106-2,755857.24,False,V-0281,pass_through_cartel
P-000275,C-00106,INV-C-00106-3,755857.24,False,V-0167,pass_through_cartel
P-000276,C-00107,INV-C-00107-0,695422.99,False,,product_substitution
P-000277,C-00107,INV-C-00107-1,695422.99,False,,product_substitution
P-000278,C-00107,INV-C-00107-2,695422.99,False,,product_substitution
P-000279,C-00108,INV-C-00108-0,1687731.75,False,,bid_rigging
P-000280,C-00108,INV-C-00108-1,1687731.75,False,,bid_rigging
P-000281,C-00108,INV-C-00108-2,1687731.75,False,,bid_rigging
P-000282,C-00109,INV-C-00109-0,1616524.07,False,,product_substitution
P-000283,C-00109,INV-C-00109-1,1616524.07,False,,product_substitution
P-000284,C-00109,INV-C-00109-2,1616524.07,False,,product_substitution
P-000285,C-00110,INV-C-00110-0,6626082.98,False,,none
P-000286,C-00110,INV-C-00110-1,6626082.98,False,,none
P-000287,C-00110,INV-C-00110-2,6626082.98,False,,none
P-000288,C-00111,INV-C-00111-0,678957.64,False,,none
P-000289,C-00111,INV-C-00111-1,678957.64,False,,none
P-000290,C-00112,INV-C-00112-0,2380527.0,False,,none
P-000291,C-00113,INV-C-00113-0,3526694.08,False,,product_substitution
P-000292,C-00113,INV-C-00113-1,3526694.08,False,,product_substitution
P-000293,C-00114,INV-C-00114-0,6149659.38,False,,none
P-000294,C-00114,INV-C-00114-1,6149659.38,False,,none
P-000295,C-00114,INV-C-00114-2,6149659.38,False,,none
P-000296,C-00114,INV-C-00114-3,6149659.38,False,,none
P-000297,C-00115,INV-C-00115-0,1732057.49,False,,product_substitution
P-000298,C-00115,INV-C-00115-1,1732057.49,False,,product_substitution
P-000299,C-00116,INV-C-00116-0,1363456.51,False,,product_substitution
P-000300,C-00117,INV-C-00117-0,517834.95,False,,none
P-000301,C-00117,INV-C-00117-1,517834.95,False,,none
P-000302,C-00118,INV-C-00118-0,1939170.42,False,,none
P-000303,C-00118,INV-C-00118-1,1939170.42,False,,none
P-000304,C-00118,INV-C-00118-2,1939170.42,False,,none
P-000305,C-00118,INV-C-00118-3,1939170.42,False,,none
P-000306,C-00119,INV-C-00119-0,4078475.02,False,,none
P-000307,C-00119,INV-C-00119-1,4078475.02,False,,none
P-000308,C-00120,INV-C-00120-0,1961497.61,False,,product_substitution
P-000309,C-00120,INV-C-00120-1,1961497.61,False,,product_substitution
P-000310,C-00120,INV-C-00120-2,1961497.61,False,,product_substitution
P-000311,C-00120,INV-C-00120-3,1961497.61,False,,product_substitution
P-000312,C-00121,INV-C-00121-0,2669101.92,False,,none
P-000313,C-00121,INV-C-00121-1,2669101.92,False,,none
P-000314,C-00121,INV-C-00121-2,2669101.92,False,,none
P-000315,C-00122,INV-C-00122-0,829755.31,False,,none
P-000316,C-00122,INV-C-00122-1,829755.31,False,,none
P-000317,C-00122,INV-C-00122-2,829755.31,False,,none
P-000318,C-00122,INV-C-00122-3,829755.31,False,,none
P-000319,C-00123,INV-C-00123-0,4494621.51,False,,product_substitution
P-000320,C-00123,INV-C-00123-1,4494621.51,False,,product_substitution
P-000321,C-00124,INV-C-00124-0,196889.89,False,,none
P-000322,C-00124,INV-C-00124-1,196889.89,False,,none
P-000323,C-00124,INV-C-00124-2,196889.89,False,,none
P-000324,C-00124,INV-C-00124-3,196889.89,False,,none
P-000325,C-00125,INV-C-00125-0,4236091.43,False,,product_substitution
P-000326,C-00125,INV-C-00125-1,4236091.43,False,,product_substitution
P-000327,C-00125,INV-C-00125-2,4236091.43,False,,product_substitution
P-000328,C-00125,INV-C-00125-3,4236091.43,False,,product_substitution
P-000329,C-00126,INV-C-00126-0,276038.43,False,,none
P-000330,C-00126,INV-C-00126-1,276038.43,False,,none
P-000331,C-00126,INV-C-00126-2,276038.43,False,,none
P-000332,C-00126,INV-C-00126-3,276038.43,False,,none
P-000333,C-00127,INV-C-00127-0,1016510.26,False,,none
P-000334,C-00127,INV-C-00127-1,1016510.26,False,,none
P-000335,C-00127,INV-C-00127-2,1016510.26,False,,none
P-000336,C-00127,INV-C-00127-3,1016510.26,False,,none
P-000337,C-00128,INV-C-00128-0,193168.79,False,,product_substitution
P-000338,C-00128,INV-C-00128-1,193168.79,False,,product_substitution
P-000339,C-00128,INV-C-00128-2,193168.79,False,,product_substitution
P-000340,C-00128,INV-C-00128-3,193168.79,False,,product_substitution
P-000341,C-00129,INV-C-00129-0,454358.15,False,,none
P-000342,C-00129,INV-C-00129-1,454358.15,False,,none
P-000343,C-00129,INV-C-00129-2,454358.15,False,,none
P-000344,C-00129,INV-C-00129-3,454358.15,False,,none
P-000345,C-00130,INV-C-00130-0,3911879.25,False,,none
P-000346,C-00130,INV-C-00130-1,3911879.25,False,,none
P-000347,C-00130,INV-C-00130-2,3911879.25,False,,none
P-000348,C-00130,INV-C-00130-3,3911879.25,False,,none
P-000349,C-00131,INV-C-00131-0,1179036.04,False,,bid_rigging
P-000350,C-00131,INV-C-00131-1,1179036.04,False,,bid_rigging
P-000351,C-00131,INV-C-00131-2,1179036.04,False,,bid_rigging
P-000352,C-00132,INV-C-00132-0,17395743.52,False,,product_substitution
P-000353,C-00132,INV-C-00132-1,17395743.52,False,,product_substitution
P-000354,C-00133,INV-C-00133-0,217647.37,False,,none
P-000355,C-00133,INV-C-00133-1,217647.37,False,,none
P-000356,C-00133,INV-C-00133-2,217647.37,False,,none
P-000357,C-00134,INV-C-00134-0,153921.98,False,,none
P-000358,C-00134,INV-C-00134-1,153921.98,False,,none
P-000359,C-00134,INV-C-00134-2,153921.98,False,,none
P-000360,C-00134,INV-C-00134-3,153921.98,False,,none
P-000361,C-00135,INV-C-00135-0,652898.56,False,,product_substitution
P-000362,C-00136,INV-C-00136-0,302333.96,False,,product_substitution
P-000363,C-00136,INV-C-00136-1,302333.96,False,,product_substitution
P-000364,C-00137,INV-C-00137-0,197723.32,False,,product_substitution
P-000365,C-00137,INV-C-00137-1,197723.32,False,,product_substitution
P-000366,C-00137,INV-C-00137-2,197723.32,False,,product_substitution
P-000367,C-00138,INV-C-00138-0,618469.57,False,,none
P-000368,C-00139,INV-C-00139-0,136366.46,False,,none
P-000369,C-00139,INV-C-00139-1,136366.46,False,,none
P-000370,C-00139,INV-C-00139-2,136366.46,False,,none
P-000371,C-00139,INV-C-00139-3,136366.46,False,,none
P-000372,C-00140,INV-C-00140-0,212297.67,False,,none
P-000373,C-00140,INV-C-00140-1,212297.67,False,,none
P-000374,C-00140,INV-C-00140-2,212297.67,False,,none
P-000375,C-00141,INV-C-00141-0,2632530.78,False,,bid_rigging
P-000376,C-00142,INV-C-00142-0,120957.34,False,,shell_company
P-000377,C-00142,INV-C-00142-1,120957.34,False,,shell_company
P-000378,C-00142,INV-C-00142-2,120957.34,False,,shell_company
P-000379,C-00143,INV-C-00143-0,73853.94,False,,none
P-000380,C-00143,INV-C-00143-1,73853.94,False,,none
P-000381,C-00144,INV-C-00144-0,2992168.15,False,,shell_company
P-000382,C-00145,INV-C-00145-0,1008574.73,False,,product_substitution
P-000383,C-00145,INV-C-00145-1,1008574.73,False,,product_substitution
P-000384,C-00145,INV-C-00145-2,1008574.73,False,,product_substitution
P-000385,C-00146,INV-C-00146-0,8916386.15,False,,none
P-000386,C-00146,INV-C-00146-1,8916386.15,False,,none
P-000387,C-00147,INV-C-00147-0,2600175.2,False,,product_substitution
P-000388,C-00147,INV-C-00147-1,2600175.2,False,,product_substitution
P-000389,C-00147,INV-C-00147-2,2600175.2,False,,product_substitution
P-000390,C-00147,INV-C-00147-3,2600175.2,False,,product_substitution
P-000391,C-00148,INV-C-00148-0,207453.53,False,,none
P-000392,C-00148,INV-C-00148-1,207453.53,False,,none
P-000393,C-00148,INV-C-00148-2,207453.53,False,,none
P-000394,C-00148,INV-C-00148-3,207453.53,False,,none
P-000395,C-00149,INV-C-00149-0,1260180.1,False,,none
P-000396,C-00149,INV-C-00149-1,1260180.1,False,,none
