tender_id,category,department_id,estimated_value,published_date,submission_deadline_days,is_emergency_procurement,split_parent_tender_id
T-00028,Security Services,DEPT-011,563606.97,2023-11-30,1,True,
T-00029,Office Equipment,DEPT-007,457396.62,2026-02-18,26,False,
T-00030,IT Services,DEPT-014,2716121.15,2025-08-04,15,False,SPLIT-PARENT-30
T-00031,IT Services,DEPT-014,2493412.74,2025-08-03,12,False,SPLIT-PARENT-30
T-00032,IT Services,DEPT-014,2677402.09,2025-08-05,18,False,SPLIT-PARENT-30
T-00033,Road Maintenance,DEPT-006,23809875.62,2024-09-15,1,True,
T-00034,Office Equipment,DEPT-005,455137.4,2023-10-19,16,False,SPLIT-PARENT-34
T-00035,Office Equipment,DEPT-005,493398.34,2023-10-19,11,False,SPLIT-PARENT-34
T-00036,Office Equipment,DEPT-005,447533.54,2023-10-22,16,False,SPLIT-PARENT-34
T-00037,Construction,DEPT-007,35830023.79,2023-08-09,3,True,
T-00038,Construction,DEPT-016,13115007.29,2023-09-01,11,False,SPLIT-PARENT-38
T-00039,Construction,DEPT-016,13574578.49,2023-09-02,19,False,SPLIT-PARENT-38
T-00040,Construction,DEPT-016,13540138.26,2023-09-02,20,False,SPLIT-PARENT-38
T-00041,Construction,DEPT-016,12539791.27,2023-09-01,12,False,SPLIT-PARENT-38
T-00042,Consulting,DEPT-019,2387152.41,2024-12-13,3,True,
T-00043,Office Equipment,DEPT-017,949192.27,2026-03-13,3,True,
T-00044,Construction,DEPT-017,12540484.95,2024-03-20,15,False,
T-00045,Construction,DEPT-024,9148604.07,2023-07-22,25,False,
T-00046,Road Maintenance,DEPT-023,12128761.72,2026-04-22,3,True,
T-00047,IT Services,DEPT-006,3020812.16,2024-12-27,26,False,
T-00048,Office Equipment,DEPT-014,453779.08,2023-08-21,17,False,SPLIT-PARENT-48
T-00049,Office Equipment,DEPT-014,498275.18,2023-08-22,18,False,SPLIT-PARENT-48
T-00050,Office Equipment,DEPT-014,495535.82,2023-08-20,15,False,SPLIT-PARENT-48
T-00051,Office Equipment,DEPT-014,479945.9,2023-08-23,14,False,SPLIT-PARENT-48
T-00052,Catering,DEPT-020,1208946.61,2024-09-30,17,False,
T-00053,Security Services,DEPT-010,679844.69,2025-05-26,1,True,
T-00054,Catering,DEPT-022,1951350.13,2025-01-22,3,True,
T-00055,Catering,DEPT-022,1973800.41,2023-08-04,3,True,
T-00056,IT Services,DEPT-004,5675845.2,2023-10-21,3,True,
T-00057,IT Services,DEPT-024,4427942.02,2023-12-12,1,True,
T-00058,Road Maintenance,DEPT-007,8428662.79,2025-04-07,2,True,
T-00059,Catering,DEPT-009,1646210.54,2026-04-06,30,False,
T-00060,Security Services,DEPT-012,2865032.22,2025-09-01,25,False,
T-00061,Consulting,DEPT-005,980561.31,2025-07-20,2,True,
T-00062,Catering,DEPT-016,662139.65,2024-04-17,17,False,SPLIT-PARENT-62
T-00063,Catering,DEPT-016,656707.78,2024-04-18,16,False,SPLIT-PARENT-62
T-00064,Catering,DEPT-016,650017.14,2024-04-19,12,False,SPLIT-PARENT-62
T-00065,Consulting,DEPT-020,4572450.49,2023-07-17,26,False,
T-00066,Catering,DEPT-015,1662820.76,2024-02-18,2,True,
T-00067,Catering,DEPT-017,1904619.84,2024-06-19,27,False,
T-00068,Construction,DEPT-025,29577341.32,2023-03-06,13,False,
T-00069,Security Services,DEPT-015,2608294.71,2024-10-06,11,False,
T-00070,Construction,DEPT-006,17893235.38,2026-02-14,15,False,
T-00071,Catering,DEPT-014,1872184.12,2023-10-03,2,True,
T-00072,Catering,DEPT-025,1745521.39,2023-08-13,27,False,
T-00073,Catering,DEPT-016,185915.47,2026-02-25,22,False,
T-00074,Consulting,DEPT-016,326561.48,2026-04-25,21,False,
T-00075,Consulting,DEPT-011,2007024.16,2023-05-06,1,True,
T-00076,Medical Supplies,DEPT-012,4891736.99,2024-12-15,30,False,
T-00077,Road Maintenance,DEPT-013,24694627.1,2023-07-19,2,True,
T-00078,Security Services,DEPT-012,1246802.11,2023-04-26,11,False,SPLIT-PARENT-78
T-00079,Security Services,DEPT-012,1348147.07,2023-04-26,15,False,SPLIT-PARENT-78
T-00080,Security Services,DEPT-012,1220899.82,2023-04-30,15,False,SPLIT-PARENT-78
T-00081,Security Services,DEPT-012,1196802.73,2023-04-29,19,False,SPLIT-PARENT-78
T-00082,Security Services,DEPT-012,1283686.29,2023-04-29,14,False,SPLIT-PARENT-78
T-00083,Construction,DEPT-023,7715841.86,2025-08-19,22,False,
T-00084,Security Services,DEPT-011,2538870.58,2026-03-18,2,True,
T-00085,IT Services,DEPT-023,3232859.6,2024-02-26,3,True,
T-00086,Road Maintenance,DEPT-006,24277945.55,2024-09-05,2,True,
T-00087,Office Equipment,DEPT-016,1271072.44,2023-06-04,19,False,
T-00088,Consulting,DEPT-002,4223977.78,2024-08-31,17,False,
T-00089,IT Services,DEPT-023,3908937.33,2026-03-30,2,True,
T-00090,Consulting,DEPT-003,2191133.61,2026-03-06,16,False,
T-00091,Road Maintenance,DEPT-003,8051690.37,2024-09-11,16,False,SPLIT-PARENT-91
T-00092,Road Maintenance,DEPT-003,7895117.34,2024-09-14,18,False,SPLIT-PARENT-91
T-00093,Road Maintenance,DEPT-003,7953047.54,2024-09-14,12,False,SPLIT-PARENT-91
T-00094,Road Maintenance,DEPT-003,8439519.85,2024-09-14,12,False,SPLIT-PARENT-91
T-00095,Road Maintenance,DEPT-003,8093659.25,2024-09-11,20,False,SPLIT-PARENT-91
T-00096,Catering,DEPT-009,619473.44,2025-12-27,23,False,
T-00097,Construction,DEPT-017,4142268.87,2024-02-15,1,True,
T-00098,Office Equipment,DEPT-005,1303847.45,2024-09-06,12,False,
T-00099,Office Equipment,DEPT-014,1228706.46,2024-06-30,18,False,
T-00100,Office Equipment,DEPT-013,1499590.63,2024-05-03,1,True,
T-00101,Construction,DEPT-008,39872199.81,2024-09-27,3,True,
T-00102,Security Services,DEPT-014,2399554.14,2023-03-17,2,True,
T-00103,Medical Supplies,DEPT-001,1833043.97,2024-06-13,17,False,SPLIT-PARENT-103
T-00104,Medical Supplies,DEPT-001,1998549.81,2024-06-13,11,False,SPLIT-PARENT-103
T-00105,Medical Supplies,DEPT-001,1870696.0,2024-06-15,11,False,SPLIT-PARENT-103
T-00106,Medical Supplies,DEPT-001,2030856.94,2024-06-16,15,False,SPLIT-PARENT-103
T-00107,Medical Supplies,DEPT-001,1968366.48,2024-06-13,16,False,SPLIT-PARENT-103
T-00108,Medical Supplies,DEPT-008,4648576.38,2023-08-18,13,False,
T-00109,Consulting,DEPT-016,4734875.5,2023-07-04,1,True,
T-00110,Road Maintenance,DEPT-011,21391537.38,2026-04-11,17,False,
T-00111,Security Services,DEPT-007,1290453.17,2023-10-23,1,True,
T-00112,Consulting,DEPT-015,2362611.85,2025-04-16,3,True,
T-00113,Construction,DEPT-016,6908057.78,2025-12-28,1,True,
T-00114,Road Maintenance,DEPT-018,23897224.65,2025-05-17,1,True,
T-00115,Consulting,DEPT-005,3109638.25,2025-01-13,2,True,
T-00116,Consulting,DEPT-001,1297485.47,2023-03-13,11,False,
T-00117,Office Equipment,DEPT-009,1023965.99,2026-02-05,3,True,
T-00118,Road Maintenance,DEPT-022,7879385.78,2023-09-10,14,False,SPLIT-PARENT-118
T-00119,Road Maintenance,DEPT-022,7779760.27,2023-09-08,14,False,SPLIT-PARENT-118
T-00120,Road Maintenance,DEPT-022,7676814.63,2023-09-08,17,False,SPLIT-PARENT-118
T-00121,Road Maintenance,DEPT-022,8155663.7,2023-09-10,10,False,SPLIT-PARENT-118
T-00122,Consulting,DEPT-003,3167015.55,2025-10-03,2,True,
T-00123,Road Maintenance,DEPT-023,9595905.23,2025-05-15,15,False,
T-00124,Consulting,DEPT-017,745076.44,2023-05-16,3,True,
T-00125,Road Maintenance,DEPT-015,17117756.69,2023-02-26,15,False,
T-00126,Catering,DEPT-021,1088584.63,2023-10-06,1,True,
T-00127,Consulting,DEPT-011,3907128.28,2026-03-25,1,True,
T-00128,Office Equipment,DEPT-017,804237.08,2023-09-24,20,False,
T-00129,Catering,DEPT-016,1719144.85,2023-10-01,3,True,
T-00130,Road Maintenance,DEPT-010,14245764.13,2024-02-11,2,True,
T-00131,Medical Supplies,DEPT-013,3431487.13,2025-02-11,17,False,
T-00132,Construction,DEPT-001,35312836.9,2026-02-17,12,False,
T-00133,Catering,DEPT-007,651238.37,2024-06-24,14,False,SPLIT-PARENT-133
T-00134,Catering,DEPT-007,608581.86,2024-06-22,12,False,SPLIT-PARENT-133
T-00135,Catering,DEPT-007,681199.16,2024-06-20,10,False,SPLIT-PARENT-133
T-00136,Catering,DEPT-007,660391.09,2024-06-23,17,False,SPLIT-PARENT-133
T-00137,Catering,DEPT-004,621204.54,2024-04-07,16,False,SPLIT-PARENT-137
T-00138,Catering,DEPT-004,606848.14,2024-04-05,19,False,SPLIT-PARENT-137
T-00139,Catering,DEPT-004,614616.56,2024-04-06,20,False,SPLIT-PARENT-137
T-00140,Catering,DEPT-004,612232.05,2024-04-05,16,False,SPLIT-PARENT-137
T-00141,Medical Supplies,DEPT-001,2510374.77,2024-08-17,17,False,
T-00142,Catering,DEPT-008,354628.93,2025-01-27,30,False,
T-00143,Catering,DEPT-003,154687.08,2023-01-22,2,True,
T-00144,Security Services,DEPT-022,3118494.12,2024-03-10,23,False,
T-00145,Consulting,DEPT-003,3177485.85,2023-07-15,11,False,
T-00146,Road Maintenance,DEPT-008,17897914.43,2025-08-22,29,False,
T-00147,Construction,DEPT-001,10092638.14,2024-06-03,22,False,
T-00148,Consulting,DEPT-013,854583.08,2025-01-29,3,True,
T-00149,Construction,DEPT-019,2552697.3,2024-01-03,3,True,
T-00150,Catering,DEPT-011,766116.36,2025-08-16,2,True,
T-00151,Security Services,DEPT-005,2523703.67,2024-06-17,1,True,
T-00152,Medical Supplies,DEPT-016,2444627.66,2024-07-29,23,False,
T-00153,Consulting,DEPT-009,2299879.63,2024-06-24,23,False,
T-00154,Medical Supplies,DEPT-011,5439328.36,2025-10-03,14,False,
T-00155,Catering,DEPT-002,761685.39,2024-01-22,1,True,
T-00156,Medical Supplies,DEPT-002,3156838.51,2025-08-21,3,True,
T-00157,Catering,DEPT-014,1588940.72,2023-08-26,25,False,
T-00158,Construction,DEPT-015,17068625.73,2024-12-31,27,False,
T-00159,Catering,DEPT-015,1281964.73,2025-10-06,3,True,
T-00160,Medical Supplies,DEPT-004,5194827.7,2024-12-16,2,True,
T-00161,Medical Supplies,DEPT-006,5704695.65,2025-11-07,28,False,
T-00162,Office Equipment,DEPT-019,263256.55,2023-01-09,28,False,
T-00163,Medical Supplies,DEPT-014,5570537.61,2023-06-07,2,True,
T-00164,IT Services,DEPT-011,4089295.46,2023-02-23,3,True,
T-00165,IT Services,DEPT-013,2288481.79,2025-02-04,13,False,
T-00166,Road Maintenance,DEPT-005,12019258.15,2023-03-01,3,True,
T-00167,Catering,DEPT-015,1962061.89,2024-07-05,10,False,
T-00168,Road Maintenance,DEPT-002,12822834.26,2025-07-16,3,True,
T-00169,Medical Supplies,DEPT-007,2073196.92,2023-04-10,19,False,
T-00170,Road Maintenance,DEPT-002,16201620.5,2023-05-25,29,False,
T-00171,Security Services,DEPT-003,1264524.23,2025-03-27,1,True,
T-00172,Security Services,DEPT-003,673107.98,2023-02-12,15,False,
T-00173,Security Services,DEPT-025,863967.0,2025-04-04,3,True,
T-00174,Medical Supplies,DEPT-004,899068.16,2024-09-03,2,True,
T-00175,Consulting,DEPT-022,929132.93,2023-09-26,1,True,
T-00176,Road Maintenance,DEPT-017,4331852.14,2024-02-14,2,True,
T-00177,Catering,DEPT-009,1317662.02,2026-02-27,12,False,
T-00178,Security Services,DEPT-012,1054768.3,2024-01-17,2,True,
T-00179,IT Services,DEPT-002,2961638.08,2025-11-17,2,True,
T-00180,Office Equipment,DEPT-021,1350343.19,2023-11-14,26,False,
T-00181,IT Services,DEPT-010,3949504.63,2025-08-16,2,True,
T-00182,Consulting,DEPT-005,3404277.14,2023-09-19,19,False,
T-00183,Office Equipment,DEPT-017,299863.81,2025-05-25,1,True,
T-00184,IT Services,DEPT-002,1780625.44,2025-11-17,2,True,
T-00185,Security Services,DEPT-004,547127.02,2025-08-09,28,False,
T-00186,Consulting,DEPT-012,1010888.3,2024-06-05,26,False,
T-00187,Construction,DEPT-004,12586432.88,2025-08-05,1,True,
T-00188,Security Services,DEPT-002,1037237.74,2023-06-20,3,True,
T-00189,Consulting,DEPT-011,625772.16,2026-04-17,24,False,
T-00190,Consulting,DEPT-011,779052.18,2024-01-19,1,True,
T-00191,Consulting,DEPT-022,2411738.09,2023-08-06,1,True,
T-00192,Construction,DEPT-013,9840681.3,2023-08-27,10,False,
T-00193,Medical Supplies,DEPT-021,2280978.69,2025-09-04,24,False,
T-00194,Security Services,DEPT-022,2212302.18,2025-09-23,19,False,
T-00195,Road Maintenance,DEPT-023,17569475.89,2025-03-19,19,False,
T-00196,IT Services,DEPT-005,602703.48,2023-10-04,10,False,
T-00197,Office Equipment,DEPT-004,1209145.08,2023-02-02,16,False,
T-00198,Construction,DEPT-007,25860214.8,2025-09-12,30,False,
T-00199,Medical Supplies,DEPT-021,628290.34,2024-05-10,23,False,
T-00200,Office Equipment,DEPT-003,1316689.0,2024-09-08,24,False,
T-00201,Medical Supplies,DEPT-016,5537103.54,2025-05-14,10,False,
T-00202,IT Services,DEPT-006,770300.29,2023-11-09,24,False,
T-00203,Catering,DEPT-016,626067.53,2023-02-10,24,False,
T-00204,Office Equipment,DEPT-007,1218991.86,2024-08-26,28,False,
T-00205,Security Services,DEPT-002,3093734.89,2024-11-14,10,False,
T-00206,IT Services,DEPT-021,1720811.85,2025-06-03,23,False,
T-00207,Catering,DEPT-024,497763.71,2026-03-31,29,False,
T-00208,Consulting,DEPT-002,1978266.09,2025-09-25,22,False,
T-00209,Catering,DEPT-017,1020593.67,2026-04-25,29,False,
T-00210,Catering,DEPT-008,1274684.07,2023-05-05,26,False,
T-00211,Construction,DEPT-014,16018718.3,2026-03-26,20,False,
T-00212,IT Services,DEPT-009,3861517.31,2025-05-04,25,False,
T-00213,IT Services,DEPT-016,6055526.22,2024-12-11,24,False,
T-00214,Security Services,DEPT-001,532059.53,2023-11-27,19,False,
T-00215,Office Equipment,DEPT-016,416033.57,2024-12-05,24,False,
T-00216,Office Equipment,DEPT-017,1084356.9,2024-03-25,28,False,
T-00217,Road Maintenance,DEPT-020,22484964.1,2025-08-17,14,False,
T-00218,Consulting,DEPT-024,2656051.72,2025-03-10,23,False,
T-00219,Road Maintenance,DEPT-016,13770723.65,2023-11-28,29,False,
T-00220,Office Equipment,DEPT-010,205399.42,2023-06-26,25,False,
T-00221,Medical Supplies,DEPT-006,2767362.35,2024-02-13,15,False,
T-00222,Catering,DEPT-004,1111972.81,2025-05-01,25,False,
T-00223,Consulting,DEPT-008,1363858.42,2024-03-04,27,False,
T-00224,Construction,DEPT-001,12231242.78,2025-01-04,18,False,
T-00225,Road Maintenance,DEPT-022,10054819.91,2023-11-21,15,False,
T-00226,Construction,DEPT-003,2762705.52,2024-11-22,23,False,
T-00227,IT Services,DEPT-020,2780009.57,2024-04-09,13,False,
T-00228,Office Equipment,DEPT-016,356599.61,2024-06-12,20,False,
T-00229,Road Maintenance,DEPT-025,8859936.45,2023-04-06,27,False,
T-00230,Consulting,DEPT-005,774858.23,2025-11-21,29,False,
T-00231,IT Services,DEPT-023,7157060.06,2023-04-14,24,False,
T-00232,Catering,DEPT-025,1227825.66,2023-08-16,13,False,
T-00233,IT Services,DEPT-018,5529087.86,2023-03-27,26,False,
T-00234,IT Services,DEPT-006,6376618.54,2023-08-30,16,False,
T-00235,Road Maintenance,DEPT-006,12962612.77,2024-08-21,24,False,
T-00236,Catering,DEPT-024,265148.55,2023-07-23,14,False,
T-00237,Road Maintenance,DEPT-011,13890557.0,2023-10-10,13,False,
T-00238,Office Equipment,DEPT-015,900919.62,2025-05-01,10,False,
T-00239,Office Equipment,DEPT-016,1130887.24,2024-11-30,19,False,
T-00240,Medical Supplies,DEPT-003,2675208.35,2024-06-28,21,False,
T-00241,Security Services,DEPT-012,859289.09,2024-05-17,14,False,
T-00242,Security Services,DEPT-008,1421593.26,2023-10-10,23,False,
T-00243,Security Services,DEPT-014,1707096.27,2025-07-28,26,False,
T-00244,Road Maintenance,DEPT-001,16502013.79,2025-06-25,14,False,
T-00245,Construction,DEPT-023,23689575.58,2025-11-25,12,False,
T-00246,IT Services,DEPT-011,3041944.79,2024-10-06,22,False,
T-00247,Medical Supplies,DEPT-014,5921114.21,2023-05-06,22,False,
T-00248,Construction,DEPT-022,25019443.14,2023-11-06,28,False,
T-00249,Construction,DEPT-021,11014618.09,2025-11-30,19,False,
T-00250,Security Services,DEPT-013,766416.9,2026-02-07,19,False,
T-00251,Road Maintenance,DEPT-012,4668619.34,2023-01-17,18,False,
T-00252,Medical Supplies,DEPT-023,1588852.71,2025-04-07,24,False,
T-00253,Office Equipment,DEPT-018,282987.99,2025-06-24,21,False,
T-00254,Security Services,DEPT-025,1071641.29,2024-02-09,19,False,
T-00255,IT Services,DEPT-002,2495232.8,2026-01-05,20,False,
T-00256,Security Services,DEPT-024,1024144.94,2023-09-16,26,False,
T-00257,Consulting,DEPT-007,4504474.04,2023-07-10,26,False,
T-00258,Consulting,DEPT-017,585121.98,2024-11-28,30,False,
T-00259,Medical Supplies,DEPT-001,3218391.63,2023-02-27,27,False,
T-00260,Consulting,DEPT-008,2169904.77,2024-09-14,23,False,
T-00261,IT Services,DEPT-024,7864315.35,2023-05-03,21,False,
T-00262,Consulting,DEPT-021,737786.73,2025-11-05,21,False,
T-00263,IT Services,DEPT-002,3363488.11,2023-09-13,24,False,
T-00264,Consulting,DEPT-019,4853458.08,2023-01-11,24,False,
T-00265,Road Maintenance,DEPT-008,21772171.02,2026-04-06,28,False,
T-00266,Office Equipment,DEPT-012,1234754.5,2024-09-04,19,False,
T-00267,Medical Supplies,DEPT-023,1658731.54,2025-02-12,26,False,
T-00268,Office Equipment,DEPT-004,297787.0,2024-11-02,26,False,
T-00269,Office Equipment,DEPT-025,1019532.67,2025-01-09,24,False,
T-00270,IT Services,DEPT-005,7456195.12,2025-05-21,23,False,
T-00271,IT Services,DEPT-003,4587074.28,2023-05-08,23,False,
T-00272,Medical Supplies,DEPT-016,3493934.23,2024-03-15,24,False,
T-00273,IT Services,DEPT-012,2455839.02,2025-12-13,22,False,
T-00274,Security Services,DEPT-009,3170174.56,2026-04-11,25,False,
T-00275,Security Services,DEPT-015,1073357.49,2025-09-29,23,False,
T-00276,Medical Supplies,DEPT-005,2043523.53,2025-11-01,14,False,
T-00277,Catering,DEPT-023,908329.23,2025-07-26,14,False,
T-00278,IT Services,DEPT-023,4208599.92,2024-03-11,24,False,
T-00279,Catering,DEPT-002,560578.49,2023-11-18,27,False,
T-00280,Road Maintenance,DEPT-004,3756083.79,2025-04-16,13,False,
T-00281,IT Services,DEPT-012,5001774.33,2026-03-16,19,False,
T-00282,Construction,DEPT-017,12967961.02,2023-11-10,13,False,
T-00283,Road Maintenance,DEPT-010,14949717.31,2025-02-05,19,False,
T-00284,Consulting,DEPT-016,940941.03,2023-02-27,14,False,
T-00285,Medical Supplies,DEPT-019,2964669.6,2025-05-13,11,False,
T-00286,Consulting,DEPT-010,2756429.28,2024-03-17,15,False,
T-00287,Catering,DEPT-001,198464.72,2023-09-08,27,False,
T-00288,Road Maintenance,DEPT-003,9078502.68,2023-04-02,23,False,
T-00289,Catering,DEPT-019,355387.89,2024-09-26,28,False,
T-00290,Catering,DEPT-011,220412.44,2025-02-11,25,False,
T-00291,Medical Supplies,DEPT-025,5941267.36,2023-10-11,26,False,
T-00292,Catering,DEPT-025,712472.31,2025-07-10,24,False,
T-00293,Medical Supplies,DEPT-024,4887765.51,2024-10-28,12,False,
T-00294,Security Services,DEPT-013,1316706.36,2024-04-21,22,False,
T-00295,Road Maintenance,DEPT-018,17356065.33,2023-04-04,24,False,
T-00296,Consulting,DEPT-021,3849093.73,2023-07-01,15,False,
T-00297,Construction,DEPT-019,24634272.14,2024-09-24,27,False,
T-00298,IT Services,DEPT-021,3931136.65,2026-02-19,12,False,
T-00299,Office Equipment,DEPT-020,647169.33,2026-01-14,28,False,
T-00300,Construction,DEPT-019,15256994.13,2025-12-04,16,False,
T-00301,Catering,DEPT-017,1866105.37,2023-02-08,13,False,
T-00302,Medical Supplies,DEPT-001,5009123.54,2024-07-17,16,False,
T-00303,Office Equipment,DEPT-023,1449289.02,2026-04-01,24,False,
T-00304,IT Services,DEPT-018,1257088.62,2024-10-18,22,False,
T-00305,Construction,DEPT-016,29772964.06,2023-02-17,20,False,
T-00306,Security Services,DEPT-006,3778025.64,2025-04-29,10,False,
T-00307,Road Maintenance,DEPT-013,5349593.59,2024-06-10,12,False,
T-00308,IT Services,DEPT-004,812021.26,2026-01-14,15,False,
T-00309,Consulting,DEPT-005,3757379.12,2024-01-10,18,False,
T-00310,IT Services,DEPT-005,4723442.97,2024-09-20,23,False,
T-00311,Medical Supplies,DEPT-002,5074698.34,2024-10-28,15,False,
T-00312,Construction,DEPT-023,7311350.31,2023-04-30,19,False,
T-00313,Security Services,DEPT-004,3262962.32,2024-10-17,14,False,
T-00314,Security Services,DEPT-011,1125858.35,2024-06-12,22,False,
T-00315,IT Services,DEPT-002,1560150.76,2024-02-19,17,False,
T-00316,Office Equipment,DEPT-016,288185.41,2025-11-07,26,False,
T-00317,Security Services,DEPT-004,3332468.99,2024-07-05,11,False,
T-00318,Road Maintenance,DEPT-015,16964733.3,2026-02-06,23,False,
T-00319,IT Services,DEPT-016,4327603.77,2023-03-01,23,False,
T-00320,Office Equipment,DEPT-001,570304.2,2024-07-05,27,False,
T-00321,IT Services,DEPT-008,7054444.16,2026-02-10,30,False,
T-00322,Medical Supplies,DEPT-010,2445803.88,2026-03-09,23,False,
T-00323,Catering,DEPT-003,1651538.93,2025-10-21,16,False,
T-00324,Medical Supplies,DEPT-012,2718939.22,2026-01-11,15,False,
T-00325,Office Equipment,DEPT-018,596569.42,2025-05-17,27,False,
T-00326,Catering,DEPT-002,979091.59,2023-01-03,24,False,
T-00327,Consulting,DEPT-021,1646613.8,2023-12-09,10,False,
T-00328,Construction,DEPT-016,30409156.45,2024-07-13,29,False,
T-00329,Consulting,DEPT-022,2613057.87,2025-02-17,21,False,
T-00330,Office Equipment,DEPT-019,386708.41,2025-11-11,19,False,
T-00331,Construction,DEPT-006,36183833.78,2025-12-29,28,False,
T-00332,IT Services,DEPT-010,3255962.4,2023-07-03,22,False,
T-00333,IT Services,DEPT-005,4485357.03,2026-02-13,18,False,
T-00334,Security Services,DEPT-007,3663299.6,2025-10-30,20,False,
T-00335,Road Maintenance,DEPT-021,15981711.9,2024-06-19,24,False,
T-00336,Consulting,DEPT-008,761110.6,2024-10-20,20,False,
T-00337,Office Equipment,DEPT-015,1412756.58,2024-11-03,10,False,
T-00338,Medical Supplies,DEPT-021,3822092.11,2023-01-05,29,False,
T-00339,Catering,DEPT-001,736320.67,2023-01-20,15,False,
T-00340,Security Services,DEPT-018,901379.46,2025-09-28,22,False,
T-00341,IT Services,DEPT-021,6413993.96,2023-06-08,27,False,
T-00342,Construction,DEPT-022,25562764.73,2025-06-30,13,False,
T-00343,Road Maintenance,DEPT-013,13803066.21,2025-01-03,22,False,
T-00344,Medical Supplies,DEPT-025,5379271.61,2023-01-18,13,False,
T-00345,Catering,DEPT-012,1598334.7,2024-01-31,24,False,
T-00346,Construction,DEPT-008,7763645.43,2023-02-10,18,False,
T-00347,Road Maintenance,DEPT-007,8481329.63,2023-07-04,29,False,
T-00348,Consulting,DEPT-023,1392747.87,2024-03-28,17,False,
T-00349,Catering,DEPT-012,1513497.96,2023-03-17,18,False,
T-00350,Catering,DEPT-023,163711.63,2024-03-04,10,False,
T-00351,Office Equipment,DEPT-021,876340.04,2025-03-22,13,False,
T-00352,Consulting,DEPT-019,3859801.69,2025-10-21,25,False,
T-00353,Medical Supplies,DEPT-018,5279078.98,2024-02-01,28,False,
T-00354,Medical Supplies,DEPT-003,2151178.23,2026-04-19,14,False,
T-00355,IT Services,DEPT-005,6623681.25,2024-06-15,28,False,
T-00356,Office Equipment,DEPT-017,210416.02,2024-07-15,16,False,
T-00357,Construction,DEPT-023,34165187.09,2025-12-27,29,False,
T-00358,Consulting,DEPT-022,811945.58,2026-02-21,24,False,
T-00359,Construction,DEPT-014,17096917.04,2023-04-17,20,False,
T-00360,Security Services,DEPT-014,3270263.32,2024-07-15,13,False,
T-00361,Catering,DEPT-016,384843.11,2025-01-10,26,False,
T-00362,Construction,DEPT-024,10711553.02,2024-04-04,11,False,
T-00363,Consulting,DEPT-014,3666812.33,2025-12-26,24,False,
T-00364,Road Maintenance,DEPT-001,18280876.88,2025-03-13,16,False,
T-00365,Road Maintenance,DEPT-003,16387543.19,2026-03-17,10,False,
T-00366,Office Equipment,DEPT-023,1056225.24,2025-05-17,12,False,
T-00367,Office Equipment,DEPT-007,836950.44,2023-12-03,20,False,
T-00368,Consulting,DEPT-003,1408635.48,2023-07-18,10,False,
T-00369,Catering,DEPT-014,756822.39,2023-02-19,28,False,
T-00370,Road Maintenance,DEPT-009,5358345.2,2024-05-21,13,False,
