bid_id,tender_id,vendor_id,contract_id,category,department_id,estimated_value,submission_deadline_days,is_emergency_procurement,is_split_tender,num_bidders,bid_amount,price_ratio_to_estimate,price_zscore_in_category,submission_day_offset,submission_hour,bid_text_similarity_score,is_winner,vendor_age_days,employee_count,shared_address_count,shared_bank_account_count,award_amount,award_to_bid_ratio,change_order_count,change_order_value_ratio,reported_completion_pct,actual_completion_pct,completion_mismatch,delivery_confirmed,inspection_mismatch_flag,invoice_count,duplicate_invoice_flag,intermediary_flag,author_matches_vendor_flag,creation_after_deadline_flag,modified_after_submission_flag,flesch_reading_ease,ai_generated_text_score,citation_verifiable_ratio,metadata_missing_flag,fraud_category,is_anomaly
B-000024,T-00005,V-0210,C-00005,Consulting,DEPT-006,2710869.65,28,False,False,6,2742106.86,1.012,0.208,7,18,0.115,True,3853,2,0,0,2742106.86,1.0,0,0.0,95,95,0,True,False,2,True,False,True,False,False,44.5,0.15,0.94,False,duplicate_invoice,1
B-000025,T-00006,V-0010,C-00006,IT Services,DEPT-005,5146369.51,3,True,False,2,5050919.86,0.981,0.481,4,12,0.088,True,3438,1,1,0,5050919.86,1.0,4,0.73,100,100,0,True,False,3,False,False,True,False,False,35.1,0.117,1.0,False,change_order_abuse,1
B-000026,T-00006,V-0255,,IT Services,DEPT-005,5146369.51,3,True,False,2,5187604.56,1.008,0.54,4,9,0.009,False,4181,39,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,35.9,0.115,0.86,False,none,0
B-000027,T-00007,V-0196,C-00007,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,8089454.7,0.991,-0.685,3,11,0.057,True,1367,11,0,0,8089454.7,1.0,6,0.84,100,100,0,True,False,4,False,False,True,False,False,41.2,0.063,0.88,False,change_order_abuse,1
B-000028,T-00007,V-0253,,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,8511007.8,1.042,-0.622,10,14,0.08,False,4886,6,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,66.6,0.048,0.93,False,none,0
B-000029,T-00007,V-0009,,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,8632781.02,1.057,-0.604,10,12,0.005,False,2900,18,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,52.9,0.359,0.87,False,none,0
B-000030,T-00007,V-0441,,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,7779126.05,0.953,-0.731,5,8,0.137,False,1254,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,66.8,0.038,0.99,False,none,0
B-000031,T-00007,V-0195,,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,7512039.34,0.92,-0.77,5,12,0.122,False,3683,12,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,41.7,0.187,0.85,False,none,0
B-000032,T-00007,V-0227,,Road Maintenance,DEPT-003,8164141.82,16,False,True,6,7264679.36,0.89,-0.807,9,11,0.114,False,4739,15,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,12.5,0.143,0.98,False,none,0
B-000033,T-00008,V-0371,,Road Maintenance,DEPT-003,7636440.8,19,False,True,4,7869195.54,1.03,-0.717,0,9,0.083,False,1120,16,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,39.0,0.187,0.89,False,none,0
B-000034,T-00008,V-0424,,Road Maintenance,DEPT-003,7636440.8,19,False,True,4,7130893.17,0.934,-0.827,10,12,0.129,False,4558,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,46.5,0.241,0.88,False,none,0
B-000035,T-00008,V-0318,,Road Maintenance,DEPT-003,7636440.8,19,False,True,4,6650015.51,0.871,-0.899,8,15,0.064,False,2263,19,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,50.7,0.102,1.0,False,none,0
B-000036,T-00008,V-0222,C-00008,Road Maintenance,DEPT-003,7636440.8,19,False,True,4,7814482.25,1.023,-0.725,9,16,0.039,True,6676,3,0,0,7814482.25,1.0,4,0.69,100,100,0,True,False,4,False,False,True,False,False,44.4,0.173,0.91,False,change_order_abuse,1
B-000037,T-00009,V-0239,C-00009,Road Maintenance,DEPT-003,8296589.76,13,False,True,5,9537593.42,1.15,-0.469,4,18,0.143,True,3720,14,0,0,9537593.42,1.0,0,0.0,94,94,0,True,False,4,True,False,True,False,False,31.7,0.072,0.94,False,duplicate_invoice,1
B-000038,T-00009,V-0381,,Road Maintenance,DEPT-003,8296589.76,13,False,True,5,8293567.69,1.0,-0.654,1,11,0.116,False,558,9,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,36.6,0.132,0.96,False,none,0
B-000039,T-00009,V-0473,,Road Maintenance,DEPT-003,8296589.76,13,False,True,5,8713986.6,1.05,-0.592,4,13,0.086,False,5371,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,31.6,0.242,0.91,True,none,0
B-000040,T-00009,V-0121,,Road Maintenance,DEPT-003,8296589.76,13,False,True,5,8337324.04,1.005,-0.648,0,17,0.041,False,1221,30,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,43.2,0.219,0.92,False,none,0
B-000041,T-00009,V-0067,,Road Maintenance,DEPT-003,8296589.76,13,False,True,5,8247362.95,0.994,-0.661,4,18,0.038,False,2989,6,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,53.2,0.219,0.9,False,none,0
B-000042,T-00010,V-0006,,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,8070887.8,1.055,-0.687,2,15,0.069,False,3411,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,48.4,0.315,0.97,True,none,0
B-000043,T-00010,V-0063,,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,7515862.27,0.983,-0.77,7,8,0.07,False,1995,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,32.2,0.433,0.86,False,none,0
B-000044,T-00010,V-0157,C-00010,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,7771800.65,1.016,-0.732,5,15,0.096,True,2362,4,0,0,7771800.65,1.0,0,0.0,92,92,0,True,False,4,False,False,True,False,False,59.4,0.045,0.86,False,tender_splitting,1
B-000045,T-00010,V-0291,,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,7796723.88,1.019,-0.728,8,11,0.061,False,7748,18,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,61.9,0.19,0.93,False,none,0
B-000046,T-00010,V-0338,,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,7342465.57,0.96,-0.796,9,9,0.041,False,827,16,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,49.0,0.042,0.89,False,none,0
B-000047,T-00010,V-0164,,Road Maintenance,DEPT-003,7649082.3,14,False,True,6,8104375.11,1.06,-0.682,9,16,0.047,False,2533,16,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,52.9,0.181,0.86,False,none,0
B-000048,T-00011,V-0225,,Catering,DEPT-002,662326.9,10,False,True,2,655374.07,0.99,-0.723,4,12,0.13,False,2556,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,51.2,0.351,0.92,False,none,0
B-000049,T-00011,V-0092,C-00011,Catering,DEPT-002,662326.9,10,False,True,2,632293.88,0.955,-0.764,2,11,0.095,True,6114,2,0,0,632293.88,1.0,5,0.46,100,100,0,True,False,4,False,False,True,False,False,57.8,0.095,0.85,False,change_order_abuse,1
B-000050,T-00012,V-0446,C-00012,Catering,DEPT-002,667000.98,14,False,True,3,688472.14,1.032,-0.665,3,9,0.098,True,1565,10,0,0,688472.14,1.0,5,0.58,100,100,0,True,False,3,False,False,True,False,False,46.9,0.293,0.93,False,change_order_abuse,1
B-000051,T-00012,V-0316,,Catering,DEPT-002,667000.98,14,False,True,3,631044.24,0.946,-0.766,2,18,0.076,False,2258,11,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,48.5,0.011,0.87,False,none,0
B-000052,T-00012,V-0335,,Catering,DEPT-002,667000.98,14,False,True,3,668128.79,1.002,-0.701,7,17,0.048,False,6374,11,0,1,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,37.4,0.026,0.95,False,none,0
B-000053,T-00013,V-0367,,Catering,DEPT-002,622315.42,11,False,True,6,621974.93,0.999,-0.782,0,18,0.127,False,1673,14,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,42.4,0.223,0.94,False,none,0
B-000054,T-00013,V-0116,,Catering,DEPT-002,622315.42,11,False,True,6,662861.59,1.065,-0.71,5,16,0.108,False,2422,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,45.1,0.293,0.95,False,none,0
B-000055,T-00013,V-0031,C-00013,Catering,DEPT-002,622315.42,11,False,True,6,640040.14,1.028,-0.75,9,11,0.052,True,4331,14,0,0,640040.14,1.0,2,0.06,92,92,0,True,False,3,False,False,True,False,False,25.5,0.114,0.94,False,tender_splitting,1
B-000056,T-00013,V-0487,,Catering,DEPT-002,622315.42,11,False,True,6,621380.94,0.998,-0.783,1,16,0.067,False,6023,13,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,61.8,0.103,0.93,False,none,0
B-000057,T-00013,V-0365,,Catering,DEPT-002,622315.42,11,False,True,6,652849.93,1.049,-0.728,8,9,0.036,False,2111,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,20.1,0.048,0.91,False,none,0
B-000058,T-00013,V-0132,,Catering,DEPT-002,622315.42,11,False,True,6,674224.28,1.083,-0.69,5,17,0.056,False,3668,8,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,53.3,0.347,0.93,False,none,0
B-000059,T-00014,V-0036,,Catering,DEPT-002,654496.98,16,False,True,5,676402.09,1.033,-0.686,0,13,0.091,False,3868,24,2,3,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,39.4,0.26,0.92,False,none,0
B-000060,T-00014,V-0328,C-00014,Catering,DEPT-002,654496.98,16,False,True,5,654903.53,1.001,-0.724,5,13,0.146,True,1703,49,0,0,654903.53,1.0,6,0.37,100,100,0,True,False,4,False,False,True,False,False,27.2,0.293,0.89,False,change_order_abuse,1
B-000061,T-00014,V-0218,,Catering,DEPT-002,654496.98,16,False,True,5,602981.41,0.921,-0.815,10,13,0.071,False,5353,2,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,44.9,0.076,0.96,False,none,0
B-000062,T-00014,V-0448,,Catering,DEPT-002,654496.98,16,False,True,5,612670.16,0.936,-0.798,4,17,0.005,False,1424,11,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,39.8,0.068,0.88,False,none,0
B-000063,T-00014,V-0144,,Catering,DEPT-002,654496.98,16,False,True,5,642510.86,0.982,-0.746,5,8,0.044,False,1940,18,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,25.5,0.358,0.88,True,none,0
B-000064,T-00015,V-0466,C-00015,Catering,DEPT-002,611322.88,10,False,True,3,588966.35,0.963,-0.84,9,11,0.121,True,166,7,0,0,588966.35,1.0,0,0.0,98,98,0,True,False,1,False,True,True,False,False,41.9,0.495,0.93,False,pass_through_cartel,1
B-000065,T-00015,V-0302,,Catering,DEPT-002,611322.88,10,False,True,3,604464.89,0.989,-0.813,8,16,0.118,False,1759,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,50.3,0.096,0.97,False,none,0
B-000066,T-00015,V-0013,,Catering,DEPT-002,611322.88,10,False,True,3,613400.76,1.003,-0.797,5,11,0.057,False,5458,3,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,33.1,0.094,0.96,False,none,0
B-000067,T-00016,V-0016,,IT Services,DEPT-025,5657264.91,1,True,False,6,5837061.64,1.032,0.821,1,9,0.144,False,5582,5,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,35.8,0.216,0.91,False,none,0
B-000068,T-00016,V-0336,,IT Services,DEPT-025,5657264.91,1,True,False,6,5633335.09,0.996,0.733,3,17,0.076,False,5760,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,55.8,0.401,0.9,False,none,0
B-000069,T-00016,V-0371,,IT Services,DEPT-025,5657264.91,1,True,False,6,5822401.03,1.029,0.814,9,18,0.082,False,475,16,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,35.6,0.238,0.88,False,none,0
B-000070,T-00016,V-0076,,IT Services,DEPT-025,5657264.91,1,True,False,6,5679149.84,1.004,0.752,6,16,0.11,False,2833,3,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,53.0,0.078,0.89,False,none,0
B-000071,T-00016,V-0195,,IT Services,DEPT-025,5657264.91,1,True,False,6,4986720.65,0.881,0.453,8,8,0.091,False,3039,12,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,18.6,0.116,0.94,False,none,0
B-000072,T-00016,V-0390,C-00016,IT Services,DEPT-025,5657264.91,1,True,False,6,5338420.76,0.944,0.605,10,16,0.078,True,5235,1,0,0,5338420.76,1.0,9,0.85,100,100,0,True,False,2,False,False,True,False,False,42.7,0.028,0.93,False,change_order_abuse,1
B-000073,T-00017,V-0428,C-00017,Road Maintenance,DEPT-019,11908985.55,30,False,False,3,11806029.35,0.991,-0.132,5,11,0.12,True,1773,7,0,0,11806029.35,1.0,1,0.03,100,100,0,True,False,1,False,False,True,False,False,30.7,0.264,0.88,False,none,0
B-000074,T-00017,V-0294,,Road Maintenance,DEPT-019,11908985.55,30,False,False,3,11044611.32,0.927,-0.245,5,11,0.068,False,810,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,50.4,0.154,0.85,False,none,0
B-000075,T-00017,V-0150,,Road Maintenance,DEPT-019,11908985.55,30,False,False,3,12337658.1,1.036,-0.053,1,11,0.067,False,7188,10,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,48.3,0.4,0.87,True,none,0
B-000076,T-00018,V-0185,C-00018,Catering,DEPT-023,1292360.35,3,True,False,5,1411057.25,1.092,0.603,5,18,0.073,True,746,7,0,0,1411057.25,1.0,10,0.7,100,100,0,True,False,4,False,False,True,False,False,39.4,0.078,0.93,False,change_order_abuse,1
B-000077,T-00018,V-0040,,Catering,DEPT-023,1292360.35,3,True,False,5,1386865.12,1.073,0.561,3,15,0.118,False,0,8,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,52.1,0.204,0.98,False,none,0
B-000078,T-00018,V-0180,,Catering,DEPT-023,1292360.35,3,True,False,5,1275809.64,0.987,0.366,3,17,0.124,False,1114,10,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,59.0,0.428,0.92,False,none,0
B-000079,T-00018,V-0286,,Catering,DEPT-023,1292360.35,3,True,False,5,1407953.67,1.089,0.598,2,16,0.037,False,4693,36,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,40.1,0.182,0.91,False,none,0
B-000080,T-00018,V-0258,,Catering,DEPT-023,1292360.35,3,True,False,5,1303888.27,1.009,0.415,6,18,0.088,False,6079,0,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,36.4,0.255,0.96,False,none,0
B-000081,T-00019,V-0310,,Construction,DEPT-009,13498537.42,15,False,True,3,13225527.36,0.98,-0.74,5,13,0.018,False,0,22,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,43.4,0.253,0.86,False,none,0
B-000082,T-00019,V-0133,C-00019,Construction,DEPT-009,13498537.42,15,False,True,3,13001735.09,0.963,-0.76,6,14,0.076,True,1972,25,0,0,13001735.09,1.0,7,0.53,100,100,0,True,False,3,False,False,True,False,False,42.0,0.165,0.96,False,change_order_abuse,1
B-000083,T-00019,V-0407,,Construction,DEPT-009,13498537.42,15,False,True,3,13253563.52,0.982,-0.738,2,17,0.074,False,741,2,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,56.6,0.023,0.86,False,none,0
B-000084,T-00020,V-0460,,Construction,DEPT-009,12197222.11,15,False,True,3,11913141.38,0.977,-0.854,0,10,0.018,False,0,25,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,57.1,0.099,0.91,False,none,0
B-000085,T-00020,V-0092,C-00020,Construction,DEPT-009,12197222.11,15,False,True,3,12321938.38,1.01,-0.818,4,16,0.107,True,5830,2,0,0,12321938.38,1.0,4,0.89,100,100,0,True,False,2,False,False,True,False,False,37.0,0.115,0.93,False,change_order_abuse,1
B-000086,T-00020,V-0448,,Construction,DEPT-009,12197222.11,15,False,True,3,12314735.5,1.01,-0.819,7,9,0.019,False,1139,11,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,54.2,0.143,0.98,False,none,0
B-000087,T-00021,V-0426,C-00021,Construction,DEPT-009,12663515.49,10,False,True,2,12665829.89,1.0,-0.789,2,9,0.02,True,1887,33,0,0,12665829.89,1.0,0,0.0,92,92,0,True,False,1,True,False,True,False,False,47.8,0.173,0.99,False,duplicate_invoice,1
B-000088,T-00021,V-0220,,Construction,DEPT-009,12663515.49,10,False,True,2,12995505.89,1.026,-0.76,8,14,0.136,False,5190,17,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,39.2,0.243,0.86,False,none,0
B-000089,T-00022,V-0065,,Construction,DEPT-009,12427538.28,20,False,True,4,13315346.41,1.071,-0.732,4,9,0.051,False,1270,4,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,44.4,0.328,0.98,False,none,0
B-000090,T-00022,V-0205,C-00022,Construction,DEPT-009,12427538.28,20,False,True,4,13135575.5,1.057,-0.748,5,17,0.091,True,1398,34,0,0,13135575.5,1.0,0,0.0,98,98,0,True,False,2,True,False,True,False,False,36.4,0.522,0.87,False,duplicate_invoice,1
B-000091,T-00022,V-0356,,Construction,DEPT-009,12427538.28,20,False,True,4,11320320.7,0.911,-0.905,1,8,0.011,False,3763,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,60.7,0.183,0.94,False,none,0
B-000092,T-00022,V-0285,,Construction,DEPT-009,12427538.28,20,False,True,4,10523201.12,0.847,-0.974,5,15,0.137,False,0,30,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,39.0,0.144,0.95,False,none,0
B-000093,T-00023,V-0379,,IT Services,DEPT-017,2597949.55,18,False,True,5,2743588.51,1.056,-0.517,2,10,0.109,False,2551,7,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,56.5,0.125,1.0,False,none,0
B-000094,T-00023,V-0427,,IT Services,DEPT-017,2597949.55,18,False,True,5,2384884.64,0.918,-0.672,9,16,0.013,False,3278,0,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,41.6,0.142,0.99,False,none,0
B-000095,T-00023,V-0223,,IT Services,DEPT-017,2597949.55,18,False,True,5,2562913.8,0.987,-0.595,0,17,0.089,False,1828,18,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,23.7,0.282,0.94,False,none,0
B-000096,T-00023,V-0148,C-00023,IT Services,DEPT-017,2597949.55,18,False,True,5,2415555.87,0.93,-0.659,10,18,0.068,True,2755,4,0,0,2415555.87,1.0,8,0.41,100,100,0,True,False,1,False,False,True,False,False,62.5,0.323,0.97,False,change_order_abuse,1
B-000097,T-00023,V-0387,,IT Services,DEPT-017,2597949.55,18,False,True,5,2317062.29,0.892,-0.702,5,15,0.027,False,5344,35,1,1,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,45.4,0.128,0.93,False,none,0
B-000098,T-00024,V-0143,,IT Services,DEPT-017,2497428.9,20,False,True,6,2578564.78,1.032,-0.588,5,8,0.085,False,2855,10,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,42.4,0.383,0.97,False,none,0
